instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
all-images-CVIU11-pattern1-target1 0 0 0 0 0 102 264 55 0 257 0 0 0 14 0 0
all-images-CVIU11-pattern1-target10 0 0 0 0 0 83 192 53 0 188 0 0 0 14 0 0
all-images-CVIU11-pattern1-target100 0 0 0 0 0 20 85 22 0 93 0 0 0 14 0 0
all-images-CVIU11-pattern1-target101 0 0 0 0 0 21 83 33 0 74 0 0 0 14 0 0
all-images-CVIU11-pattern1-target102 0 0 0 0 0 65 116 59 0 152 0 0 0 14 0 0
all-images-CVIU11-pattern1-target103 0 0 0 0 0 59 128 40 0 147 0 0 0 14 0 0
all-images-CVIU11-pattern1-target104 0 0 0 0 0 126 240 78 0 250 0 0 0 14 0 0
all-images-CVIU11-pattern1-target105 0 0 0 0 0 116 255 71 0 243 0 0 0 14 0 0
all-images-CVIU11-pattern1-target106 0 0 0 0 0 98 216 84 0 198 0 0 0 14 0 0
all-images-CVIU11-pattern1-target107 0 0 0 0 0 88 193 49 0 243 0 0 0 14 0 0
all-images-CVIU11-pattern1-target108 0 0 1 0 1 222 408 128 0 349 0 1 0 14 0 0
all-images-CVIU11-pattern1-target109 0 0 0 0 0 122 356 65 0 247 0 0 0 14 0 0
all-images-CVIU11-pattern1-target11 0 0 0 0 0 52 87 30 0 128 0 0 0 14 0 0
all-images-CVIU11-pattern1-target110 0 0 0 0 0 48 172 35 0 144 0 0 0 14 0 0
all-images-CVIU11-pattern1-target111 0 0 0 0 0 60 152 46 0 175 0 0 0 14 0 0
all-images-CVIU11-pattern1-target112 0 0 0 0 0 41 162 32 0 118 0 0 0 14 0 0
all-images-CVIU11-pattern1-target113 0 0 0 0 0 77 164 37 0 237 0 0 0 14 0 0
all-images-CVIU11-pattern1-target114 0 0 0 0 0 29 72 29 0 150 0 0 0 14 0 0
all-images-CVIU11-pattern1-target115 0 0 0 0 0 89 202 55 0 201 0 0 0 14 0 0
all-images-CVIU11-pattern1-target116 0 0 0 0 0 224 447 179 0 441 0 0 0 14 0 0
all-images-CVIU11-pattern1-target117 0 0 0 0 0 110 238 76 0 216 0 0 0 14 0 0
all-images-CVIU11-pattern1-target118 0 0 0 0 0 81 169 53 0 187 0 0 0 14 0 0
all-images-CVIU11-pattern1-target119 0 0 0 0 1 270 482 109 0 339 0 1 0 14 0 0
all-images-CVIU11-pattern1-target12 0 0 0 0 0 103 276 64 0 322 0 0 0 14 0 0
all-images-CVIU11-pattern1-target120 0 0 0 0 0 120 258 73 0 260 0 0 0 14 0 0
