instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
g10-g11 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g10-g12 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0
g10-g13 0 0 0 0 0 0 0 0 2 1 3 0 0 2 0 0
g10-g14 0 0 0 0 0 0 0 0 1 1 2 0 0 2 0 0
g10-g15 0 0 0 0 0 0 0 0 4 3 11 0 0 2 0 0
g10-g16 0 0 0 0 0 0 1 1 1 1 0 0 0 2 0 0
g10-g20 1 1 0 1 2 2 148 132 4984 4328 4418 2 1 2 132 1
g10-g21 0 0 0 0 0 0 2 0 18842 17569 3324 0 0 2 0 0
g10-g22 0 0 0 0 0 0 1 1 4 4 1 0 0 2 1 0
g10-g23 0 0 1 0 0 0 1 1 9 7 27 0 0 2 1 0
g10-g25 0 0 0 0 0 0 0 0 5 4 14 0 0 2 0 0
g10-g26 0 0 0 0 0 0 2 1 13 8 39 0 0 2 1 0
g10-g27 0 0 16 0 0 0 3 3 48 47 35 0 0 2 3 0
g10-g28 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g10-g29 47 75 258 49 50 53 520 521 3016 2493 3438 50 75 2 520 50
g10-g30 19 30 110 20 21 22 185 178 976 793 1023 21 30 2 178 21
g10-g31 103 71 306 106 79 74 921 866 8096 6682 6526 79 71 2 866 71
g10-g32 0 0 0 0 0 0 9 0 35159 31292 18 0 0 2 0 0
g10-g33 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0
g10-g37 0 0 0 0 0 0 9 9 25 14 22 0 0 2 9 0
g10-g38 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0
g10-g40 127 92 49 93 631 59 1279 991 1000000 1000000 1000000 192 92 2 991 59
g10-g41 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0
g10-g42 0 0 0 0 0 0 3 2 7 9 7 0 0 2 2 0
