instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si6_m4Dr6_m625.04 1 1 1 1 1 6 91 38 0 84 1 1 1 6 0 1
si6_m4Dr6_m625.01 1 1 1 1 1 6 80 37 0 37 1 1 1 6 0 1
si6_m4Dr6_m625.09 0 1 0 1 1 7 52 23 0 99 1 1 1 6 0 1
si6_m4Dr6_m625.07 1 0 1 1 1 6 89 38 0 34 0 1 0 6 0 0
si6_m4Dr6_m625.00 1 1 1 1 1 6 88 38 0 31 1 1 1 6 0 1
si6_m4Dr6_m625.08 0 0 1 0 1 6 98 24 0 125 1 1 0 6 0 0
si6_m4Dr6_m625.05 0 0 1 1 1 4 51 24 0 88 1 1 0 6 0 0
si6_m4Dr6_m625.06 1 1 0 1 0 4 49 22 0 79 1 0 1 6 0 0
si6_m4Dr6_m625.02 0 0 0 0 0 4 54 23 0 72 1 0 0 6 0 0
si6_m4Dr6_m625.03 0 0 0 1 0 4 81 22 0 19 0 0 0 6 0 0
si4_m4Dr2_m625.09 0 0 0 0 0 4 55 13 0 47 0 0 0 6 0 0
si4_m4Dr2_m625.04 2 1 2 1 0 12 38 34 0 33 3 0 1 6 0 0
si4_m4Dr2_m625.02 0 0 0 0 0 3 49 12 0 46 0 0 0 6 0 0
si4_m4Dr2_m625.07 0 0 0 0 0 4 46 20 0 15 0 0 0 6 0 0
si4_m4Dr2_m625.00 0 0 0 0 0 2 50 14 0 43 0 0 0 6 0 0
si4_m4Dr2_m625.08 0 0 0 0 0 3 30 22 0 38 0 0 0 6 0 0
si4_m4Dr2_m625.01 0 0 0 0 0 3 51 13 0 30 0 0 0 6 0 0
si4_m4Dr2_m625.06 0 0 0 0 0 2 45 12 0 36 0 0 0 6 0 0
si4_m4Dr2_m625.03 1 1 0 0 0 7 34 24 0 40 1 0 1 6 0 0
si4_m4Dr2_m625.05 0 0 0 0 0 3 57 22 0 33 0 0 0 6 0 0
si2_m4Dr2_m256.09 4 4 2 2 1 10 6 18 4 6 4 1 4 6 4 1
si2_m4Dr2_m256.03 18 21 21 21 42 81 64 40 65 31 73 42 21 6 31 21
si2_m4Dr2_m256.04 23 15 24 15 15 38 8 76 15 17 26 15 15 6 8 15
si2_m4Dr2_m256.07 0 0 0 0 0 1 3 2 0 2 0 0 0 6 0 0
si2_m4Dr2_m256.00 2 3 2 3 1 5 6 28 4 6 11 1 3 6 4 1
si2_m4Dr2_m256.06 9 11 18 11 15 23 8 61 63 62 305 15 11 6 8 11
si2_m4Dr2_m256.08 0 0 0 0 0 0 5 1 0 2 0 0 0 6 0 0
si2_m4Dr2_m256.05 0 0 0 0 0 0 5 1 0 2 0 0 0 6 0 0
si2_m4Dr2_m256.01 0 0 0 0 0 1 6 32 0 3 2 0 0 6 0 0
si2_m4Dr2_m256.02 0 0 0 0 0 1 5 6 0 2 1 0 0 6 0 0
si2_m4Dr2_m1296.05 1 1 0 0 0 11 70 29 0 94 0 0 1 6 0 0
si2_m4Dr2_m1296.09 1 1 2 1 1 15 73 31 15 81 10 1 1 6 10 1
si2_m4Dr2_m1296.02 3 3 3 3 9 30 217 43 41 131 11 9 3 6 11 3
si2_m4Dr2_m1296.07 5 9 5 5 0 58 116 28 0 69 1 0 9 6 0 0
si2_m4Dr2_m1296.00 0 0 0 0 1 14 112 27 1 65 0 1 0 6 0 0
si2_m4Dr2_m1296.06 13 22 13 13 54 134 75 588 593 458 71 54 22 6 71 22
