instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
all-meshes-CVIU11-pattern1-target1 0 0 0 0 0 6 48 1 0 6 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target10 0 0 0 0 0 11 57 2 4 6 5 0 0 13 2 0
all-meshes-CVIU11-pattern1-target100 0 0 0 0 1 165 826 10 10 9 2 1 0 13 2 0
all-meshes-CVIU11-pattern1-target102 0 0 0 0 0 77 423 11 0 8 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target103 8 7 4 6 6 124 1018 15 277 213 101 6 7 13 15 6
all-meshes-CVIU11-pattern1-target104 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target106 0 0 0 0 0 8 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target107 0 0 0 0 0 126 1233 17 0 16 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target108 0 0 0 0 0 17 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target109 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target11 0 0 0 0 0 2 11 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target110 0 0 0 0 0 6 18 1 1 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target111 0 0 0 0 0 15 64 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target112 6 4 4 8 9 103 708 10 171 110 106 9 4 13 10 4
all-meshes-CVIU11-pattern1-target113 0 0 0 0 0 12 2 0 21 9 2 0 0 13 0 0
all-meshes-CVIU11-pattern1-target114 0 0 0 0 0 10 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target115 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target116 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target117 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target118 0 0 0 0 0 0 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target119 0 0 0 0 0 9 45 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target12 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target120 0 0 0 0 0 5 9 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target121 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target122 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target123 0 0 0 0 0 3 14 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target124 0 0 0 0 0 82 12 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target125 0 0 0 0 0 18 3 0 20 16 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target126 0 0 0 0 0 136 19 3 0 3 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target127 0 0 0 0 0 5 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target128 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target129 0 0 0 0 0 121 12 2 0 0 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target13 0 0 0 0 0 16 78 4 0 6 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target130 0 0 0 0 0 38 7 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target131 0 0 0 0 0 15 1 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target132 0 0 0 0 0 83 11 1 128 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target133 0 0 0 0 0 36 4 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target134 1 0 0 0 0 192 24 3 0 0 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target135 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target136 0 0 0 0 0 78 11 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target137 0 0 0 0 0 18 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target138 0 0 0 0 0 16 2 0 1 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target139 1 0 0 0 0 176 1048 13 0 10 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target14 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target140 0 0 0 0 0 11 57 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target141 0 0 0 0 0 12 53 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target143 0 0 0 0 0 1 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target144 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target145 0 0 0 0 0 7 50 2 29 14 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target146 0 0 0 0 0 17 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target147 0 0 0 0 0 24 32 2 32 16 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target148 0 0 0 0 0 51 4 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target149 0 0 0 0 0 13 135 6 0 4 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target15 0 0 0 0 0 19 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target150 1 0 0 1 1 117 552 6 0 4 2 1 0 13 0 0
all-meshes-CVIU11-pattern1-target151 0 0 0 0 0 7 0 0 2 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target152 1 1 0 1 1 117 542 10 0 2 1 1 1 13 0 1
all-meshes-CVIU11-pattern1-target153 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target154 0 0 0 0 0 10 2 0 4 4 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target155 0 0 0 0 0 35 119 1 0 2 0 0 0 13 0 0
