instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
PR15-1 0 1 0 1 0 139 281 30 0 94 1 0 1 9 0 0
PR15-2 3 6 3 3 3 244 264 672 4 18 15 3 6 9 4 3
PR15-3 0 0 1 0 0 136 307 21 0 3 0 0 0 9 0 0
PR15-4 0 0 0 0 0 154 264 25 0 5 0 0 0 9 0 0
PR15-5 0 0 0 0 0 134 246 10 0 13 0 0 0 9 0 0
PR15-6 0 0 0 0 0 132 290 55 0 40 0 0 0 9 0 0
PR15-7 0 0 0 0 0 135 328 65 1 49 1 0 0 9 1 0
PR15-8 0 0 0 0 0 130 235 40 0 4 0 0 0 9 0 0
PR15-9 1 1 1 0 0 145 301 668 0 41 0 0 1 9 0 0
PR15-10 0 0 0 0 0 145 293 21 0 5 0 0 0 9 0 0
PR15-11 0 0 0 0 0 134 255 20 0 2 0 0 0 9 0 0
PR15-12 1 0 0 0 0 135 257 57 1 8 3 0 0 9 1 0
PR15-13 0 0 0 0 0 132 278 42 0 24 0 0 0 9 0 0
PR15-14 0 0 0 0 0 140 309 86 0 244 0 0 0 9 0 0
PR15-15 0 0 0 0 0 134 287 29 0 45 0 0 0 9 0 0
PR15-16 0 0 0 0 0 128 238 23 0 2 0 0 0 9 0 0
PR15-17 0 0 0 0 0 147 262 38 0 5 0 0 0 9 0 0
PR15-18 1 3 1 3 1 176 255 27 1 12 1 1 3 9 1 1
PR15-19 0 0 0 0 0 126 259 73 0 3 0 0 0 9 0 0
PR15-20 0 0 0 0 0 128 265 28 0 9 0 0 0 9 0 0
PR15-21 0 0 0 0 0 136 247 10 0 6 0 0 0 9 0 0
PR15-22 0 0 0 0 0 132 259 42 0 6 0 0 0 9 0 0
PR15-23 1 1 2 1 2 164 257 122 1 3 2 2 1 9 1 1
PR15-24 2 1 1 3 1 177 317 917 4 41 3 1 1 9 3 1
