instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
phase-30-150-0.34-0.36-0.42-1 5214 4924 24262 4952 11587 5343 10124 7595 439477 368129 258907 5024 11687 12 7595 4924
phase-30-150-0.34-0.36-0.42-2 26479 25706 33313 25664 53364 20144 49929 39446 1000000 1000000 1000000 25806 53464 12 39446 20144
phase-30-150-0.34-0.36-0.42-3 17895 17624 29789 17373 29580 15782 31159 24106 1000000 1000000 1000000 17724 29680 12 24106 15782
phase-30-150-0.34-0.36-0.42-4 20564 19434 72137 19422 46721 18218 34380 26947 1000000 1000000 1000000 19534 46821 12 26947 18218
phase-30-150-0.34-0.36-0.42-5 17559 16855 52444 17148 37986 14626 31935 24958 1000000 1000000 1000000 16955 38086 12 24958 14626
phase-30-150-0.34-0.36-0.42-6 4131 3842 3822 3910 5028 4057 8563 6397 148587 125095 178228 3942 5128 12 6397 3842
phase-30-150-0.34-0.36-0.42-7 15311 14632 45701 14469 32620 13779 27716 21964 1000000 900037 1000000 14732 32720 12 21964 13779
phase-30-150-0.34-0.36-0.42-8 22467 21225 68673 21222 38530 17945 42906 33153 1000000 1000000 1000000 21325 38630 12 33153 17945
phase-30-150-0.38-0.38-0.44-1 27084 24808 64722 24712 51817 21064 50466 38245 1000000 1000000 1000000 24908 51917 12 38245 21064
phase-30-150-0.38-0.38-0.44-2 34037 31722 38725 31878 93676 28412 60460 45693 1000000 1000000 1000000 31822 93776 12 45693 28412
phase-30-150-0.38-0.38-0.44-3 12493 11709 21145 11692 17198 11090 23528 17724 793407 668047 1000000 11809 17298 12 17724 11090
phase-30-150-0.38-0.38-0.44-4 25986 24707 45425 24761 56088 20156 48501 37247 1000000 1000000 1000000 24807 56188 12 37247 20156
