instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si6_r005_m400.07 5 4 6 6 1 11 560 284 361 360 198 1 4 7 198 1
si6_r005_m400.00 10 13 0 12 6 20 496 247 618 334 603 6 13 7 247 6
si6_r005_m400.01 4 3 5 3 4 8 526 183 4605 3765 269 4 3 7 183 3
si6_r005_m400.02 6 3 3 4 1 4 470 78 167 174 137 1 3 7 78 1
si6_r005_m400.04 2 2 4 2 1 3 461 116 7 45 9 1 2 7 7 1
si6_r005_m400.05 2 2 2 2 1 3 433 27 1028 771 1863 1 2 7 27 1
si6_r005_m400.09 2 1 0 0 0 3 789 32 43 127 8 0 1 7 8 0
si6_r005_m400.03 2 1 15 1 1 2 436 40 2125 1875 284 1 1 7 40 1
si6_r005_m400.06 2 1 1 1 1 2 453 33 124 182 8 1 1 7 8 1
si6_r005_m400.08 6 4 7 4 2 7 619 193 330 247 845 2 4 7 193 2
si2_r001_m600.00 1000000 1000000 1000000 1000000 72 1000000 34 1000000 11 24 1520 72 172 7 11 72
si2_r001_m600.06 1000000 1000000 1000000 1000000 7 1000000 104 1000000 23 26 343 7 107 7 23 7
si2_r001_m600.04 22 38 22 22 1 104 34 232 7 13 10 1 38 7 7 1
si2_r001_m600.07 1000000 1000000 1000000 1000000 18 1000000 46 1000000 131 95 6350 18 118 7 46 18
si2_r001_m600.02 1000000 1000000 1000000 1000000 76 1000000 46 250501 782 529 1173 76 176 7 46 76
si2_r001_m600.08 1000000 1000000 1000000 1000000 92 1000000 94 1000000 761 494 23620 92 192 7 94 92
si2_r001_m600.03 1000000 1000000 1000000 1000000 3305 1000000 37 1000000 22510 17437 1000000 1000000 3405 7 37 3305
si2_r001_m600.01 231689 240602 238839 238567 37 549378 30 586827 97 76 2474 37 137 7 30 37
si2_r001_m600.05 291315 296679 302204 297725 56 733042 94 245645 132 101 573 56 156 7 94 56
si2_r001_m600.09 1000000 1000000 1000000 1000000 1233 1000000 29 1000000 3680 2388 178538 1000000 1333 7 29 1233
si6_r001_m600.09 1 0 1000000 1 1 7 117 51 1 53 1 1 0 7 1 0
si6_r001_m600.00 51 28 56248 47 1 72 164 1771 9 57 122 1 28 7 9 1
si6_r001_m600.07 1 0 1 0 1 7 124 96 7 41 167 1 0 7 7 0
si6_r001_m600.03 2 2 3 2 2 12 122 146 10 52 11 2 2 7 10 2
si6_r001_m600.01 3 1 2 1 1 7 122 284 1 62 112 1 1 7 1 1
si6_r001_m600.06 1 1 0 0 1 6 119 64 0 68 1 1 1 7 0 1
si6_r001_m600.08 1 0 1 0 1 7 124 129 1 87 213 1 0 7 1 0
si6_r001_m600.02 7 10 6 6 1 17 162 108 6 47 24 1 10 7 6 1
si6_r001_m600.04 37 62 36 36 1 83 120 787 2 51 11 1 62 7 2 1
si6_r001_m600.05 1 0 1 0 1 6 121 29 0 60 1 1 0 7 0 0
si6_r001_m200.05 7 7 4 8 0 12 8 7 0 6 7 0 7 7 0 0
si6_r001_m200.09 3 3 1 3 0 5 8 4 1 5 1 0 3 7 1 0
si6_r001_m200.07 0 0 0 0 0 0 7 3 0 5 0 0 0 7 0 0
si6_r001_m200.02 1 1 0 1 0 4 8 4 0 5 2 0 1 7 0 0
si6_r001_m200.01 0 0 0 0 0 1 7 3 0 6 0 0 0 7 0 0
si6_r001_m200.00 0 0 0 0 0 0 6 3 0 4 0 0 0 7 0 0
si6_r001_m200.04 1 1 0 1 0 2 8 4 0 4 1 0 1 7 0 0
si6_r001_m200.06 0 0 0 0 0 0 4 3 0 5 0 0 0 7 0 0
si6_r001_m200.08 0 0 0 0 0 0 8 2 0 3 0 0 0 7 0 0
si6_r001_m200.03 0 0 0 0 0 0 8 2 0 4 0 0 0 7 0 0
si6_r01_m200.04 0 0 0 0 0 0 93 9 20 43 4 0 0 7 4 0
si6_r01_m200.08 1 2 1 2 1 1 125 26 139 148 22 1 2 7 22 1
si6_r01_m200.02 3 2 0 3 2 2 145 51 2307 1973 282 2 2 7 51 2
si6_r01_m200.09 0 0 0 0 0 0 120 43 341 300 297 0 0 7 43 0
si6_r01_m200.07 1 1 6 1 0 1 102 17 141 121 48 0 1 7 17 0
si6_r01_m200.00 2 2 3 2 3 3 159 70 235 197 85 3 2 7 70 2
si6_r01_m200.01 0 0 58 0 0 1 94 10 588 512 590 0 0 7 10 0
si6_r01_m200.03 7 6 8 6 4 5 256 182 391 340 843 4 6 7 182 4
si6_r01_m200.05 3 1 0 2 1 2 225 27 562 493 716 1 1 7 27 1
si6_r01_m200.06 1 1 1 1 1 2 148 34 375 294 374 1 1 7 34 1
si2_r001_m200.06 1 1 1 1 6 6 3 22 27 27 129 6 1 7 3 1
si2_r001_m200.01 106 119 69 112 1 138 4 14 4 4 19 1 101 7 4 1
si2_r001_m200.02 32 39 70 39 2 80 4 81 6 5 36 2 39 7 4 2
si2_r001_m200.07 0 0 0 0 0 0 3 2 0 1 0 0 0 7 0 0
si2_r001_m200.04 1 1 0 0 0 2 2 93 0 2 2 0 1 7 0 0
si2_r001_m200.05 78356 95096 95620 95899 26 170494 9 67 14089 8563 12 26 126 7 9 26
si2_r001_m200.09 22969 27089 27403 27170 0 45927 8 197 179 77 6660 0 100 7 8 0
si2_r001_m200.03 621 679 729 737 0 1376 3 402 5 4 64 0 100 7 3 0
si2_r001_m200.00 0 0 0 0 1 0 2 10 11 4 19 1 0 7 2 0
si2_r001_m200.08 3814 4328 4403 4330 4 9121 3 106 1 1 1 4 104 7 1 4
si4_r005_m200.00 5 4 7 4 6 8 38 44 131 105 202 6 4 7 38 4
si4_r005_m200.08 1 0 0 0 0 1 16 4 191 156 174 0 0 7 4 0
si4_r005_m200.02 7 11 2 6 1 16 25 95 57 48 220 1 11 7 25 1
si4_r005_m200.05 1 0 0 0 0 1 30 4 2 4 1 0 0 7 1 0
si4_r005_m200.06 0 0 0 0 0 1 31 6 1 5 2 0 0 7 1 0
si4_r005_m200.04 2 1 186 1 0 1 31 6 106 111 366 0 1 7 6 0
si4_r005_m200.07 1 1 310 1 2 1 20 14 137 84 169 2 1 7 14 1
si4_r005_m200.09 2 1 8093 2 2 3 22 19 38 31 137 2 1 7 19 1
si4_r005_m200.01 0 0 0 0 0 0 30 8 29 17 38 0 0 7 8 0
si4_r005_m200.03 2 2 3 2 4 5 27 32 104 85 392 4 2 7 27 2
si6_r01_m600.02 60 75 435 45 17 32 4207 1345 674953 554260 123258 17 75 7 1345 17
si6_r01_m600.06 8 3 2 2 2 8 3222 527 736569 636699 81613 2 3 7 527 2
si6_r01_m600.09 161 128 128 126 160 82 7708 4033 175557 144015 65733 228 260 7 4033 82
si6_r01_m600.08 1428 1123 1155 1142 457 798 47801 34893 525510 429730 1000000 1223 557 7 34893 457
si6_r01_m600.05 11 5 3 3 4 9 2810 263 34916 29836 15966 4 5 7 263 4
si6_r01_m600.07 162 145 88 96 88 75 5185 2226 32084 26252 22264 88 188 7 2226 75
si6_r01_m600.03 73 55 85 55 32 57 5382 2199 265212 221564 93714 32 55 7 2199 32
si6_r01_m600.00 38 49 241 29 25 29 4366 1223 202196 166611 54323 25 49 7 1223 25
si6_r01_m600.01 22 12 3 12 8 15 3206 661 177592 152512 291834 8 12 7 661 8
si6_r01_m600.04 274 189 226 249 81 183 9335 5455 275308 228495 903078 81 181 7 5455 81
si4_r005_m600.00 63 46 44 45 7 34 1651 854 2396 1974 11807 7 46 7 854 7
si4_r005_m600.02 43 30 264 31 20 76 1315 455 1103 910 1044 20 30 7 455 20
si4_r005_m600.08 341 323 287 393 373 343 7806 4726 14966 11640 4380 423 473 7 4380 323
