instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
F.04 1 0 2 0 1 2 267 15 21 67 1285 1 0 1 15 0
C.18 7 6 6 6 4 79 236 117 1 384 6 4 6 1 1 4
A.04 0 0 0 0 0 1 14 4 0 10 0 0 0 1 0 0
C.02 11 11 11 11 6 94 277 128 10 245 230 6 11 1 10 6
E.01 0 0 0 0 0 1 174 9 1000000 0 0 0 0 1 0 0
F.20 1 0 1 1 1 2 391 29 1000000 1000000 1000000 1 0 1 29 0
B.20 4 4 7 7 1 50 85 58 0 85 2 1 4 1 0 1
C.08 1230 1310 1299 1295 19 13412 241 117 45 241 65 19 119 1 45 19
B.11 1 1 1 2 2 11 95 40 0 73 1 2 1 1 0 1
C.10 108 118 62865 172 3 1108 247 150 1 275 3 3 103 1 1 3
B.06 2 2 2 2 1 10 120 49 0 109 2 1 2 1 0 1
F.08 1 0 2 1 1 2 332 30 1000000 1000000 1000000 1 0 1 30 0
B.07 3 3 1413 3 1 20 115 56 0 98 2 1 3 1 0 1
E.04 0 0 0 0 0 1 147 6 222743 0 0 0 0 1 0 0
C.01 42 77 41 76 3 575 257 152 0 217 4 3 77 1 0 3
B.10 1 1 2 2 2 8 82 40 0 67 2 2 1 1 0 1
A.15 0 0 0 0 0 1 9 4 0 9 0 0 0 1 0 0
C.19 25 25 25 25 4 206 234 122 4 284 24 4 25 1 4 4
B.02 3 6 5 5 1 20 80 39 1 94 1 1 6 1 1 1
E.06 0 0 0 0 0 1 91 6 22484 0 0 0 0 1 0 0
E.18 0 0 0 0 0 1 89 6 344 0 0 0 0 1 0 0
C.20 10 17 16 17 5 161 256 122 0 238 4 5 17 1 0 5
F.02 1 1 0 1 1 2 273 16 520 460 1912 1 1 1 16 1
F.11 2 1 0 1 1 3 329 16 51 45 91 1 1 1 16 1
F.12 2 1 1 0 1 2 259 16 3 36 33 1 1 1 3 1
E.05 0 0 0 0 0 1 297 11 1000000 0 0 0 0 1 0 0
B.16 1 1 3707 1 2 7 85 53 0 106 1 2 1 1 0 1
A.08 0 0 0 0 0 2 8 4 0 6 0 0 0 1 0 0
C.14 4 3 1000000 5 3 23 249 119 1 300 3 3 3 1 1 3
F.16 1 1 0 1 1 3 252 21 1 74 437 1 1 1 1 1
