GroupBy(family) min(pattern_n) max(pattern_n) mean(pattern_n) min(pattern_d) max(pattern_d) mean(pattern_d) min(target_n) max(target_n) mean(target_n) min(target_d) max(target_d) mean(target_d)
1 180.000 900.000 432.000 0.006 0.165 0.069 200.000 1000.000 480.000 0.006 0.159 0.068
11 10.000 128.000 81.163 0.020 1.000 0.192 138.000 6671.000 1491.290 0.001 0.444 0.027
12 30.000 30.000 30.000 0.294 0.890 0.622 150.000 150.000 150.000 0.370 0.782 0.613
13 40.000 199.000 110.333 0.022 0.146 0.072 201.000 5873.000 1843.905 0.000 0.022 0.005
14 15.000 151.000 82.395 0.019 0.190 0.053 1072.000 5972.000 3718.178 0.000 0.003 0.001
2 10.000 128.000 52.826 0.020 1.000 0.198 10.000 128.000 102.257 0.020 1.000 0.205
3 40.000 480.000 186.667 0.006 0.201 0.051 200.000 800.000 466.667 0.004 0.045 0.018
4 40.000 480.000 186.667 0.006 0.150 0.035 200.000 800.000 466.667 0.004 0.045 0.018
5 51.000 777.000 290.000 0.005 0.084 0.029 256.000 1296.000 725.667 0.004 0.021 0.011
6 51.000 777.000 290.000 0.006 0.078 0.025 256.000 1296.000 725.667 0.005 0.025 0.013
7 40.000 360.000 160.000 0.020 0.209 0.107 200.000 600.000 400.000 0.020 0.191 0.103
9 4.000 170.000 36.625 0.017 0.667 0.253 4838.000 4838.000 4838.000 0.001 0.001 0.001
