instance pattern_n pattern_d target_n target_d family
F.04 270 0.14757 300 0.148406 1
C.18 900 0.00599184 1000 0.00595796 1
A.04 180 0.0307883 200 0.0307035 1
C.02 900 0.00608825 1000 0.00607007 1
E.01 270 0.155996 300 0.150546 1
F.20 270 0.142806 300 0.146444 1
B.20 540 0.00999794 600 0.00999444 1
C.08 900 0.0060833 1000 0.00601802 1
B.11 540 0.0100735 600 0.010039 1
C.10 900 0.00601903 1000 0.00607007 1
B.06 540 0.0101354 600 0.0100612 1
F.08 270 0.159108 300 0.15913 1
B.07 540 0.0100873 600 0.0101057 1
E.04 270 0.151714 300 0.147625 1
C.01 900 0.00605858 1000 0.00600601 1
B.10 540 0.0101972 600 0.0100946 1
A.15 180 0.0297331 200 0.0299497 1
C.19 900 0.00606353 1000 0.00604605 1
B.02 540 0.010101 600 0.0101002 1
E.06 270 0.151026 300 0.148071 1
E.18 270 0.141236 300 0.140089 1
C.20 900 0.00612532 1000 0.00605405 1
F.02 270 0.158832 300 0.15476 1
F.11 270 0.164615 300 0.152419 1
F.12 270 0.159218 300 0.151104 1
E.05 270 0.139515 300 0.152263 1
B.16 540 0.0100735 600 0.0100779 1
A.08 180 0.030478 200 0.03 1
C.14 900 0.00603881 1000 0.00605005 1
F.16 270 0.162467 300 0.155987 1
F.06 270 0.141732 300 0.145775 1
A.03 180 0.0312228 200 0.030603 1
E.19 270 0.14103 300 0.135541 1
C.15 900 0.00601656 1000 0.00599399 1
A.16 180 0.0301676 200 0.0306533 1
B.14 540 0.0100735 600 0.0100723 1
A.02 180 0.030478 200 0.030201 1
F.14 270 0.148451 300 0.142631 1
F.05 270 0.151728 300 0.146667 1
B.09 540 0.00994984 600 0.0100445 1
A.01 180 0.0308504 200 0.0307538 1
C.05 900 0.00607836 1000 0.00600601 1
B.01 540 0.0100117 600 0.00999444 1
A.09 180 0.0299814 200 0.0299497 1
A.07 180 0.0302917 200 0.0297487 1
F.03 270 0.151177 300 0.142497 1
E.12 270 0.150861 300 0.153645 1
C.06 900 0.00601656 1000 0.00601401 1
C.09 900 0.00604375 1000 0.00597598 1
B.17 540 0.0100048 600 0.0100779 1
C.07 900 0.00609813 1000 0.00609209 1
E.09 270 0.152416 300 0.15068 1
E.17 270 0.137395 300 0.145396 1
C.11 900 0.00608083 1000 0.00604805 1
F.10 270 0.16171 300 0.154627 1
A.17 180 0.0302917 200 0.0302513 1
B.15 540 0.0101354 600 0.010089 1
E.03 270 0.142503 300 0.138395 1
F.19 270 0.148451 300 0.143478 1
A.12 180 0.0302297 200 0.0301508 1
B.08 540 0.0100254 600 0.00996661 1
F.17 270 0.149057 300 0.144504 1
C.04 900 0.00611791 1000 0.0061021 1
B.19 540 0.0101903 600 0.0100779 1
C.16 900 0.00608825 1000 0.00603604 1
C.17 900 0.00599926 1000 0.00598398 1
E.08 270 0.137546 300 0.142564 1
F.13 270 0.144596 300 0.148116 1
A.20 180 0.0301055 200 0.03 1
E.02 270 0.140094 300 0.146734 1
E.16 270 0.145573 300 0.151683 1
B.12 540 0.00999107 600 0.0100167 1
F.09 270 0.151866 300 0.15068 1
A.10 180 0.0306021 200 0.0307538 1
F.18 270 0.164202 300 0.159376 1
E.10 270 0.152141 300 0.145329 1
A.06 180 0.0299814 200 0.0303518 1
E.15 270 0.151549 300 0.148428 1
E.07 270 0.148341 300 0.146332 1
E.11 270 0.133347 300 0.136589 1
B.03 540 0.0101079 600 0.0101113 1
B.18 540 0.0100667 600 0.0100223 1
C.03 900 0.00603139 1000 0.00598799 1
A.18 180 0.0306021 200 0.0305528 1
F.15 270 0.142971 300 0.138774 1
A.19 180 0.029671 200 0.03 1
C.12 900 0.00601903 1000 0.005996 1
B.05 540 0.0101422 600 0.0100445 1
A.13 180 0.0300435 200 0.0298995 1
A.05 180 0.030478 200 0.0303518 1
F.01 270 0.142751 300 0.13777 1
E.20 270 0.152375 300 0.147068 1
B.13 540 0.0100392 600 0.00999444 1
A.14 180 0.0308504 200 0.031005 1
B.04 540 0.00994984 600 0.00998331 1
C.13 900 0.00609072 1000 0.00609409 1
F.07 270 0.144761 300 0.142185 1
E.13 270 0.159879 300 0.158395 1
E.14 270 0.137698 300 0.145463 1
A.11 180 0.0303538 200 0.0301005 1
si6_r005_m400.07 240 0.0976987 400 0.0975063 7
si6_r005_m400.00 240 0.0967922 400 0.0972682 7
si6_r005_m400.01 240 0.0980474 400 0.0976441 7
si6_r005_m400.02 240 0.0993724 400 0.0973308 7
si6_r005_m400.04 240 0.0969317 400 0.0978697 7
si6_r005_m400.05 240 0.0952232 400 0.0974311 7
si6_r005_m400.09 240 0.098954 400 0.0978446 7
si6_r005_m400.03 240 0.0974547 400 0.0977444 7
si6_r005_m400.06 240 0.0998605 400 0.0977694 7
si6_r005_m400.08 240 0.0986402 400 0.0976692 7
si6_m4Dr6_m625.04 375 0.013918 625 0.0106359 6
si6_m4Dr6_m625.01 375 0.0150303 625 0.0106359 6
