instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static instance pattern_n pattern_d target_n target_d
F.04 1 1 3 1 1 3 320 26 36 68 1758 1 1 F.04 270 0.14757 300 0.148406
C.18 8 11 11 8 5 63 405 168 1 352 4 5 11 C.18 900 0.00599184 1000 0.00595796
A.04 0 0 0 0 0 1 10 6 0 8 0 0 0 A.04 180 0.0307883 200 0.0307035
C.02 13 14 12 13 12 162 280 193 9 259 355 12 14 C.02 900 0.00608825 1000 0.00607007
E.01 0 0 0 0 0 1 201 9 1000000 0 0 0 0 E.01 270 0.155996 300 0.150546
F.20 1 1 2 1 1 3 382 28 1000000 1000000 1000000 1 1 F.20 270 0.142806 300 0.146444
B.20 5 4 5 5 2 29 83 39 0 81 2 2 4 B.20 540 0.00999794 600 0.00999444
C.08 1850 1794 1503 1557 21 13464 268 159 35 226 41 21 121 C.08 900 0.0060833 1000 0.00601802
B.11 2 1 2 2 2 11 121 54 0 70 1 2 1 B.11 540 0.0100735 600 0.010039
C.10 132 133 71588 133 4 1249 253 119 1 303 3 4 104 C.10 900 0.00601903 1000 0.00607007
B.06 3 2 3 2 2 17 140 39 0 92 1 2 2 B.06 540 0.0101354 600 0.0100612
F.08 2 1 2 1 1 2 332 29 1000000 1000000 1000000 1 1 F.08 270 0.159108 300 0.15913
B.07 3 3 1407 3 2 20 83 40 0 114 1 2 3 B.07 540 0.0100873 600 0.0101057
E.04 0 0 0 0 0 1 84 9 224005 0 0 0 0 E.04 270 0.151714 300 0.147625
C.01 86 50 46 56 7 460 270 139 1 252 5 7 50 C.01 900 0.00605858 1000 0.00600601
B.10 3 1 1 1 3 12 125 40 1 90 2 3 1 B.10 540 0.0101972 600 0.0100946
A.15 0 0 0 0 0 0 9 4 0 6 0 0 0 A.15 180 0.0297331 200 0.0299497
C.19 28 32 28 28 5 206 232 119 3 346 21 5 32 C.19 900 0.00606353 1000 0.00604605
B.02 4 3 6 6 2 19 113 47 0 79 1 2 3 B.02 540 0.010101 600 0.0101002
