family count mcsplit-si-dom mcsplit-si-ll glasgow glasgow-nosupp ri vf3 dom-then-static
Scalefree 100 61 44 0 0 59 42 61
LV 3831 3229 3009 1023 1450 2067 1659 3189
BVG 540 524 509 0 16 491 437 524
M4D 360 248 248 6 0 269 137 248
Rand 270 152 77 22 1 50 21 151
Phase 200 194 0 0 0 0 0 5
PR 24 20 21 0 0 20 18 20
Meshes 3018 3004 2904 626 1160 2464 1753 3004
Images 6278 5134 4474 0 1 4425 3622 5134
TOTAL 14621 12566 11286 1677 2628 9845 7689 12336

family count mcsplit-si-dom mcsplit-si-ll glasgow glasgow-nosupp ri vf3 dom-then-static
Scalefree 100 100 100 100 100 90 98 100
LV 3831 3732 3733 3756 3736 3612 3589 3757
BVG 540 540 540 540 540 537 539 540
M4D 360 359 359 360 360 360 356 360
Rand 270 259 259 270 260 263 263 270
Phase 200 199 199 178 179 5 4 199
PR 24 24 24 24 24 24 24 24
Meshes 3018 3018 3018 3018 3018 2781 2914 3018
Images 6278 6278 6278 6278 6278 6278 6278 6278
TOTAL 14621 14509 14510 14524 14495 13950 14065 14546
