instance pattern_n pattern_d target_n target_d
F.04 270 0.29514 300 0.296812
C.18 900 0.0119837 1000 0.0119159
A.04 180 0.0615767 200 0.061407
C.02 900 0.0121765 1000 0.0121401
E.01 270 0.311992 300 0.301093
F.20 270 0.285612 300 0.292887
B.20 540 0.0199959 600 0.0199889
C.08 900 0.0121666 1000 0.012036
B.11 540 0.020147 600 0.0200779
C.10 900 0.0120381 1000 0.0121401
B.06 540 0.0202707 600 0.0201224
F.08 270 0.318216 300 0.318261
B.07 540 0.0201745 600 0.0202115
E.04 270 0.303428 300 0.295251
C.01 900 0.0121172 1000 0.012012
B.10 540 0.0203944 600 0.0201892
A.15 180 0.0594662 200 0.0598995
C.19 900 0.0121271 1000 0.0120921
B.02 540 0.020202 600 0.0202003
E.06 270 0.302051 300 0.296143
E.18 270 0.282473 300 0.280178
C.20 900 0.0122506 1000 0.0121081
F.02 270 0.317665 300 0.309521
F.11 270 0.32923 300 0.304838
F.12 270 0.318436 300 0.302207
E.05 270 0.279031 300 0.304526
B.16 540 0.020147 600 0.0201558
A.08 180 0.0609559 200 0.06
C.14 900 0.0120776 1000 0.0121001
F.16 270 0.324935 300 0.311973
F.06 270 0.283464 300 0.29155
A.03 180 0.0624457 200 0.061206
E.19 270 0.28206 300 0.271081
C.15 900 0.0120331 1000 0.011988
A.16 180 0.0603352 200 0.0613065
B.14 540 0.020147 600 0.0201447
A.02 180 0.0609559 200 0.060402
F.14 270 0.296902 300 0.285262
F.05 270 0.303456 300 0.293333
B.09 540 0.0198997 600 0.020089
A.01 180 0.0617008 200 0.0615075
C.05 900 0.0121567 1000 0.012012
B.01 540 0.0200234 600 0.0199889
A.09 180 0.0599628 200 0.0598995
A.07 180 0.0605835 200 0.0594975
F.03 270 0.302354 300 0.284994
E.12 270 0.301721 300 0.307291
C.06 900 0.0120331 1000 0.012028
C.09 900 0.0120875 1000 0.011952
B.17 540 0.0200096 600 0.0201558
C.07 900 0.0121963 1000 0.0121842
E.09 270 0.304833 300 0.30136
E.17 270 0.27479 300 0.290792
C.11 900 0.0121617 1000 0.0120961
F.10 270 0.32342 300 0.309253
A.17 180 0.0605835 200 0.0605025
B.15 540 0.0202707 600 0.0201781
E.03 270 0.285006 300 0.276789
F.19 270 0.296902 300 0.286957
A.12 180 0.0604593 200 0.0603015
B.08 540 0.0200508 600 0.0199332
F.17 270 0.298114 300 0.289008
C.04 900 0.0122358 1000 0.0122042
B.19 540 0.0203807 600 0.0201558
C.16 900 0.0121765 1000 0.0120721
C.17 900 0.0119985 1000 0.011968
E.08 270 0.275093 300 0.285128
F.13 270 0.289192 300 0.296232
A.20 180 0.060211 200 0.06
E.02 270 0.280187 300 0.293467
E.16 270 0.291147 300 0.303367
B.12 540 0.0199821 600 0.0200334
F.09 270 0.303731 300 0.30136
A.10 180 0.0612042 200 0.0615075
F.18 270 0.328404 300 0.318751
E.10 270 0.304282 300 0.290658
A.06 180 0.0599628 200 0.0607035
