n d
3426 0.0008460846851683775
2888 0.0010218699356269916
3526 0.0008246742536698004
5540 0.0005319027597547551
3794 0.0007792564084354263
168 0.05959509552323924
256 0.030637254901960783
763 0.006542760136634297
4159 0.0007029384283531915
5757 0.0008531173881076342
3646 0.0008096514059416073
128 0.12303149606299213
2185 0.0012958818450809297
2123 0.001335847277450907
3974 0.0007292556411540353
4173 0.0007139675018995097
1430 0.00489853044086774
217 0.017323775388291517
331 0.017028288931612196
5489 0.0005382485086791659
2766 0.0013318532058750076
4105 0.0007133648168329878
2249 0.0021401366206253787
462 0.013015184381778741
3648 0.0008125219478639016
1024 0.11730205278592376
4497 0.0006457448500661176
5219 0.0005658629601088278
400 0.035839598997493734
3366 0.0008791701650717472
3115 0.0009375151415808686
5564 0.0005358527696538687
5448 0.002433340423415387
1050 0.002859866539561487
3875 0.0007555414924975436
128 0.3956692913385827
631 0.006635977158956557
5306 0.000560459537031149
933 0.004273445298520164
1430 0.00489853044086774
1800 0.12908405904514855
969 0.004068264974541361
2051 0.0014465281659154963
400 0.007518796992481203
2184 0.005497022446174988
128 0.10888287401574803
418 0.012311681755074409
3025 0.0009755564301018847
400 0.0225062656641604
625 0.008717948717948718
3615 0.000820843484803603
5714 0.0005201555369209035
462 0.0650759219088937
5306 0.000560459537031149
1010 0.01176343600663337
5508 0.0007214031023300509
4159 0.0007029384283531915
3222 0.0015347759533523696
4278 0.0010439959411938761
394 0.012955141369912555
5931 0.0004979126167906757
3555 0.0007050552971355348
5448 0.002433340423415387
3476 0.0008388042155458602
4754 0.0006159562133819607
1547 0.0024359629412517322
2005 0.0014320486209625637
2988 0.0009922515640062761
5448 0.000540652454691545
200 0.04522613065326633
5528 0.0005335601547671384
4854 0.0006073068188253397
2249 0.0021401366206253787
4838 0.0006036389437455168
3506 0.0008372034734829959
472 0.00834862715462953
3642 0.0013470057966043871
5489 0.0005382485086791659
3733 0.0007882823713302377
256 0.022120098039215687
2036 0.001427861152812037
800 0.007506257822277847
4682 0.0006272916014378611
67 0.1013116236996834
280 0.027470558115719405
280 0.001561699948796723
610 0.4444911033944386
610 0.19093380710113328
610 0.4444911033944386
5242 0.0005631645128317573
4212 0.0006899805443302633
610 0.19093380710113328
2000 0.0008429214607303652
3615 0.000820843484803603
4058 0.0007222121729378049
5530 0.0005374914514525908
4173 0.0007139675018995097
1050 0.002859866539561487
501 0.006035928143712575
1447 0.0034343961513351898
4494 0.0009718920922433759
3506 0.0008372034734829959
724 0.006923270901629949
4684 0.0006325913469016792
2000 0.0008429214607303652
200 0.01507537688442211
3693 0.0013080000551539779
1627 0.0017841604353351463
5232 0.0005623964871850185
369 0.012504418522446095
150 0.7579418344519016
2988 0.0009922515640062761
161 0.027639751552795033
400 0.007518796992481203
5931 0.0004979126167906757
1395 0.003495780688357168
813 0.003956640551627191
1860 0.0032333258139709753
1370 0.00384957851913859
840 0.005062716385719961
514 0.010232021905173656
2778 0.001019637550349951
2319 0.0012579430677514519
3300 0.0012117537913233578
200 0.04507537688442211
4896 0.00059893381935682
3476 0.0008388042155458602
600 0.02020033388981636
5508 0.0007214031023300509
100 0.20202020202020202
100 0.20202020202020202
440 0.010167736591426797
435 0.026696329254727477
200 0.045025125628140705
244 0.01764150306955407
400 0.12481203007518797
100 1.0
2119 0.0013796662330700113
3457 0.0009625531664148963
1050 0.0028580507512824004
1050 0.0028580507512824004
2888 0.0010218699356269916
462 0.0650759219088937
4494 0.0009718920922433759
2626 0.001106879918761107
3974 0.0007292556411540353
4377 0.000672661941117333
5306 0.000560459537031149
5168 0.001145337073030143
800 0.011264080100125156
3426 0.0008460846851683775
2778 0.001019637550349951
4939 0.0006018340727306513
400 0.035839598997493734
2005 0.0014320486209625637
1221 0.004360843705106
1627 0.0017841604353351463
4723 0.0008446773801423961
256 0.0288296568627451
1296 0.004907288240621574
377 0.013573000733675716
3315 0.0008873183923771449
216 0.02235142118863049
5352 0.0005551956677139263
2119 0.0013796662330700113
5916 0.0004992407083216882
4490 0.00065678984659854
5242 0.0005631645128317573
800 0.0037515644555694617
1072 0.002680923115514863
4779 0.0006169730116349863
4301 0.0006862654980183084
1282 0.0024637051055812725
128 0.1263533464566929
97 0.019759450171821305
2123 0.001335847277450907
1385 0.0021097222512051084
4264 0.0006840350166074064
501 0.006035928143712575
631 0.006635977158956557
3218 0.000898350570394654
1590 0.0031687980653153955
4361 0.0006792903740199306
1860 0.0032333258139709753
4501 0.0006503246192204201
5528 0.0005335601547671384
1092 0.0036663611365719525
3733 0.0007882823713302377
2734 0.0010770846231448461
400 0.035839598997493734
128 0.10974409448818898
800 0.0037546933667083854
1570 0.001822735890035034
800 0.007503128911138923
4264 0.0006840350166074064
5489 0.0005382485086791659
216 0.02235142118863049
822 0.0034081041753721503
5564 0.0005358527696538687
4754 0.0006159562133819607
1430 0.00489853044086774
2968 0.0013131871975376945
5352 0.0005551956677139263
2754 0.001067561867544774
1342 0.002154896972808734
1809 0.0018913544372532616
6671 0.0006322427153984093
4838 0.0006036389437455168
2652 0.0008958172248384598
800 0.011264080100125156
961 0.005929153659382588
161 0.027639751552795033
3109 0.0009552124380043326
121 0.028925619834710745
4351 0.001072127691612709
561 0.010364145658263305
5528 0.0005335601547671384
300 0.1426309921962096
2288 0.001278509422366003
2877 0.0010004529714589306
501 0.006035928143712575
2867 0.0010171815818816568
4680 0.000637691960624211
75 0.04108108108108108
877 0.00541228659346152
3366 0.0008791701650717472
3670 0.0012922170657315175
4361 0.0006792903740199306
2645 0.00111476853824617
561 0.0009358288770053476
3567 0.0011974916198385494
1057 0.007217396290243972
2626 0.001106879918761107
5528 0.0005335601547671384
200 0.022261306532663318
1860 0.0032333258139709753
75 0.04108108108108108
2776 0.0010522626372770464
4342 0.0006693327501607279
2626 0.001106879918761107
2362 0.0012132662396744157
1428 0.0027991575046276396
3131 0.001459587368610096
435 0.026696329254727477
5376 0.0005483111849390919
4377 0.000672661941117333
400 0.022468671679197996
5931 0.0004979126167906757
938 0.0038479655389768645
4549 0.0006553287731963088
168 0.05959509552323924
610 0.04004414654499448
5540 0.0005319027597547551
1860 0.0032333258139709753
625 0.008717948717948718
5448 0.002433340423415387
2848 0.001011561549117344
1751 0.001653259361997226
891 0.0008020277683199031
1765 0.001672737083501956
168 0.05959509552323924
2792 0.0010569174967840758
200 0.04492462311557789
625 0.00935897435897436
3737 0.0007890308100200609
4299 0.0006844146879743371
4866 0.0009158077800574408
3737 0.0007890308100200609
3132 0.0009359297071716812
5944 0.000503210286868363
4293 0.0006814448367256869
4866 0.0009158077800574408
1756 0.002277255352426195
256 0.0288296568627451
1050 0.0028580507512824004
1385 0.0021097222512051084
501 0.006035928143712575
2734 0.0010770846231448461
2848 0.001011561549117344
1000 0.006092092092092092
256 0.023713235294117646
4680 0.000637691960624211
75 0.04108108108108108
2666 0.0010603964311903492
4173 0.0007139675018995097
1467 0.0032651019100520687
2122 0.0012380125854244237
3615 0.000820843484803603
1373 0.002122355549232491
5528 0.0005335601547671384
720 0.006536856745479833
494 0.011496990252194693
3615 0.000820843484803603
987 0.0048932265496073706
1534 0.003070221319582824
478 0.0049209231336017475
2450 0.001210656577861851
369 0.010133144809708967
5613 0.0007770755167053776
501 0.011952095808383233
5528 0.0005335601547671384
5564 0.0005358527696538687
2666 0.0010603964311903492
5640 0.0005170425318105041
2378 0.0021179986363570424
840 0.005062716385719961
150 0.5617897091722595
1037 0.004812292661858718
610 0.04004414654499448
2285 0.0016666219577155515
501 0.006035928143712575
4264 0.0006840350166074064
2848 0.001011561549117344
3615 0.000820843484803603
3646 0.0008096514059416073
800 0.007509386733416771
5232 0.0005623964871850185
5111 0.0007911258514979203
4939 0.0006018340727306513
4361 0.0006792903740199306
138 0.05215275573891886
168 0.05959509552323924
1619 0.002685202222373224
5217 0.001015953624947229
3611 0.0008570304187497267
4682 0.0006272916014378611
585 0.00718885376419623
2963 0.0018975876913625007
2000 0.0006983491745872936
2639 0.0011132367149203311
2036 0.001427861152812037
2157 0.0013417935134605113
1860 0.0032333258139709753
1385 0.0021097222512051084
377 0.013573000733675716
494 0.011496990252194693
435 0.026696329254727477
1072 0.002680923115514863
200 0.09844221105527638
2776 0.0010522626372770464
244 0.01764150306955407
100 0.18161616161616162
2968 0.0013131871975376945
5640 0.0005170425318105041
1764 0.0016379779364950745
4080 0.0010725668055896053
377 0.013573000733675716
2241 0.001657423344170332
3449 0.0008429088360121868
821 0.0069160155669766195
561 0.0009358288770053476
5530 0.0005374914514525908
3218 0.000898350570394654
4080 0.0010725668055896053
1050 0.0028580507512824004
5172 0.0005725308150353053
2666 0.0010603964311903492
5306 0.000560459537031149
4838 0.0006036389437455168
3696 0.0007960915944677785
3476 0.0008388042155458602
5564 0.0005358527696538687
2888 0.0010218699356269916
1341 0.002350662793415473
2000 0.001288144072036018
2051 0.0014465281659154963
5564 0.0005358527696538687
3366 0.0008791701650717472
3683 0.0012410766734661642
1627 0.0017841604353351463
1845 0.001549006813278545
1170 0.0034992286489292476
625 0.01063076923076923
2000 0.0008429214607303652
2123 0.001335847277450907
5763 0.0005108050536995783
884 0.005360171771470153
150 0.4817002237136465
200 0.030753768844221107
1010 0.01176343600663337
200 0.19020100502512563
2308 0.0012662088632366718
2016 0.0009846784040332427
4104 0.0007113370666355004
2645 0.00111476853824617
6671 0.0006322427153984093
372 0.013419122974813784
3632 0.0007933094486173273
501 0.011952095808383233
377 0.013573000733675716
128 0.11540354330708662
871 0.005764282038085435
4293 0.0006814448367256869
5352 0.0005551956677139263
128 0.11515748031496063
625 0.010635897435897436
2000 0.0006983491745872936
5306 0.000560459537031149
2000 0.0008429214607303652
1570 0.001822735890035034
643 0.006332272302243669
4494 0.0009718920922433759
2000 0.0008429214607303652
4754 0.0006159562133819607
324 0.012460344761686351
120 0.08935574229691877
4212 0.0006899805443302633
2005 0.0014320486209625637
3300 0.0012117537913233578
1296 0.004906096572763239
1800 0.12908405904514855
4377 0.000672661941117333
1928 0.002242106600460372
720 0.006536856745479833
6671 0.0006322427153984093
5757 0.0008531173881076342
2212 0.0014803509985826253
1296 0.004597454597454597
5111 0.0007911258514979203
161 0.027639751552795033
200 0.03
2639 0.0011132367149203311
1939 0.0018308672509475003
2450 0.001210656577861851
600 0.1898386199220924
1023 0.005461470331112399
4838 0.0006036389437455168
2858 0.0010302124623376026
545 0.008270372369131139
5530 0.0005374914514525908
1273 0.002312172997969438
1439 0.003811950232012843
3455 0.000845849146567205
128 0.10888287401574803
242 0.02009533280751689
2908 0.000882942042378379
128 0.1263533464566929
4838 0.0006036389437455168
5242 0.0005631645128317573
2734 0.0010770846231448461
200 0.01507537688442211
501 0.011952095808383233
3315 0.0008873183923771449
4838 0.0006036389437455168
280 0.009907834101382488
627 0.01806360222368294
400 0.035839598997493734
2362 0.0012132662396744157
2194 0.0023261217738881606
3300 0.0012117537913233578
5357 0.0005966103830978933
358 0.010844561288202431
280 0.001561699948796723
462 0.013015184381778741
2848 0.001011561549117344
100 0.20202020202020202
400 0.007518796992481203
843 0.003400929267997171
1373 0.002122355549232491
4493 0.0013495812918839418
627 0.01806360222368294
3115 0.0009375151415808686
5229 0.001023732778602295
435 0.026696329254727477
4838 0.0006036389437455168
5111 0.0007911258514979203
1064 0.0035843371363498116
514 0.009261155482740573
5229 0.001023732778602295
1131 0.0033535988983044215
331 0.017028288931612196
625 0.010635897435897436
4373 0.0006728471245723309
963 0.003808265490508481
2754 0.001067561867544774
5635 0.000526780142996681
3366 0.0008791701650717472
2249 0.0021401366206253787
2715 0.0015696524806236268
2000 0.001288144072036018
4110 0.0007189724768903819
610 0.4444911033944386
2968 0.0013131871975376945
5710 0.0005189826859547358
128 0.3956692913385827
3915 0.0007547977558373484
4684 0.0006325913469016792
256 0.023713235294117646
3426 0.0008460846851683775
627 0.01806360222368294
2529 0.0011427566807313643
3426 0.0016323434790204575
5972 0.0004889114084899968
1446 0.003026604832804491
849 0.004694757428272996
3915 0.0007547977558373484
1845 0.001549006813278545
2944 0.000987512742099898
121 0.49586776859504134
800 0.011264080100125156
3025 0.0009755564301018847
4494 0.0009718920922433759
1373 0.002122355549232491
1092 0.0036663611365719525
5448 0.002433340423415387
2867 0.0010171815818816568
5489 0.0005382485086791659
1444 0.002796958475628836
128 0.12303149606299213
168 0.05959509552323924
1050 0.0028580507512824004
2607 0.0011239590205365387
3018 0.0014193921654033373
4494 0.0009718920922433759
5635 0.000526780142996681
3723 0.0015340976254177852
1001 0.004777222777222777
2005 0.0014320486209625637
1342 0.002154896972808734
233 0.022088204824626312
3426 0.0008460846851683775
6671 0.0006322427153984093
3686 0.0013406552793179076
2988 0.0009922515640062761
400 0.09786967418546366
150 0.4607606263982103
500 0.011855711422845692
1971 0.0028149281330562188
300 0.14450390189520623
3733 0.0007882823713302377
5578 0.0005304015564103271
2792 0.0010569174967840758
400 0.035839598997493734
300 0.1421850613154961
1478 0.001944108261727178
5352 0.0005551956677139263
3455 0.000845849146567205
4497 0.0006457448500661176
800 0.0037546933667083854
2048 0.001728424981680508
552 0.009791157053052422
1764 0.0016379779364950745
64 0.05555555555555555
1430 0.00489853044086774
400 0.007518796992481203
610 0.19093380710113328
1296 0.004907288240621574
1809 0.0018913544372532616
200 0.030100502512562813
4939 0.0006018340727306513
2776 0.0010522626372770464
128 0.10974409448818898
5931 0.0004979126167906757
800 0.003748435544430538
200 0.01507537688442211
4493 0.0013495812918839418
1010 0.01176343600663337
2359 0.0021299691039424204
2666 0.0010603964311903492
561 0.010364145658263305
720 0.006231648895070314
1373 0.002122355549232491
121 0.49586776859504134
200 0.19045226130653267
256 0.025153186274509805
1040 0.0037684163766935662
256 0.023651960784313725
50 0.11836734693877551
3317 0.0012031814758419997
400 0.020463659147869673
1024 0.009775171065493646
200 0.03015075376884422
400 0.0225062656641604
5182 0.0005676412739568642
2036 0.001427861152812037
200 0.022160804020100504
1072 0.002680923115514863
2867 0.0010171815818816568
4939 0.0006018340727306513
3974 0.0007292556411540353
3182 0.0009312442217116044
280 0.001561699948796723
2626 0.001106879918761107
2529 0.0011427566807313643
2720 0.0018940787054063995
1073 0.002625502496835487
1428 0.0027991575046276396
3737 0.0007890308100200609
1704 0.0029635633334160376
128 0.1263533464566929
561 0.010364145658263305
253 0.013300708952882866
4700 0.0006254839191679534
5714 0.0005201555369209035
2715 0.0015696524806236268
75 0.04108108108108108
2888 0.0010218699356269916
2666 0.0010603964311903492
200 0.045175879396984926
2122 0.0012380125854244237
2005 0.0014320486209625637
3501 0.0008306198229077406
448 0.008429210610418665
1072 0.002680923115514863
610 0.4444911033944386
4159 0.0007029384283531915
2119 0.0013796662330700113
256 0.030637254901960783
782 0.00732551552046527
3502 0.0008263935685504558
4493 0.0013495812918839418
128 0.10974409448818898
3025 0.0009755564301018847
2930 0.0009969738882797305
128 0.0625
2754 0.001067561867544774
256 0.030637254901960783
2319 0.0012579430677514519
1467 0.0014116846196123726
4058 0.0007222121729378049
5182 0.0005676412739568642
2036 0.001427861152812037
256 0.0288296568627451
800 0.0075
371 0.01076710133313907
763 0.006542760136634297
2776 0.0010522626372770464
1446 0.003026604832804491
4104 0.0007113370666355004
4497 0.0006457448500661176
280 0.009882232462877625
5916 0.0004992407083216882
2051 0.0014465281659154963
3426 0.0008460846851683775
3794 0.0007792564084354263
200 0.01507537688442211
526 0.006242983885569437
80 0.08037974683544304
3300 0.0012117537913233578
377 0.013573000733675716
5972 0.0004889114084899968
3506 0.0008372034734829959
128 0.1263533464566929
725 0.0055477233758811206
501 0.011952095808383233
763 0.006542760136634297
256 0.0288296568627451
4501 0.0006503246192204201
2184 0.005497022446174988
3472 0.0010991334387492415
4034 0.0008685164448333475
3615 0.000820843484803603
200 0.18944723618090453
2877 0.0010004529714589306
6671 0.0006322427153984093
484 0.006493506493506494
4264 0.0006840350166074064
1845 0.001549006813278545
1721 0.0016992554355904491
5540 0.0005319027597547551
2000 0.0008289144572286143
3366 0.0008791701650717472
150 0.6938702460850111
1296 0.004598646265312932
4684 0.0006325913469016792
4361 0.0006792903740199306
4939 0.0006018340727306513
2911 0.001646793003431704
1478 0.001944108261727178
541 0.008379544054220579
416 0.012465245597775718
1671 0.0021787663452269607
1072 0.002680923115514863
3621 0.0007926445031362478
5306 0.000560459537031149
5732 0.0005154323464299582
5916 0.0004992407083216882
2888 0.0010218699356269916
462 0.013015184381778741
2051 0.0014465281659154963
2858 0.0010302124623376026
5640 0.0005170425318105041
4476 0.0006623032336333818
4779 0.0006169730116349863
1022 0.004274233273468511
3449 0.0008429088360121868
821 0.0069160155669766195
2639 0.0011132367149203311
128 0.1263533464566929
5970 0.000494907665035402
3476 0.0008388042155458602
2000 0.0012871435717858929
4992 0.0009802901633196163
1373 0.002122355549232491
1751 0.001653259361997226
3278 0.001649784965675871
2720 0.0018940787054063995
610 0.19093380710113328
1057 0.007217396290243972
400 0.0225062656641604
1461 0.003923940254845152
435 0.026696329254727477
987 0.0048932265496073706
3737 0.0007890308100200609
400 0.09780701754385965
561 0.010364145658263305
1478 0.001944108261727178
561 0.0009358288770053476
3366 0.0008791701650717472
1447 0.0034343961513351898
5564 0.0005358527696538687
2848 0.001011561549117344
585 0.00718885376419623
2734 0.0010770846231448461
5640 0.0005170425318105041
1010 0.01176343600663337
627 0.01806360222368294
256 0.025183823529411765
4779 0.0006169730116349863
4110 0.0007189724768903819
280 0.001561699948796723
394 0.012955141369912555
5970 0.000494907665035402
128 0.10974409448818898
4301 0.0006862654980183084
1751 0.001653259361997226
121 0.49586776859504134
4854 0.0006073068188253397
1539 0.0037051401320331123
3696 0.0007960915944677785
150 0.6860850111856823
5640 0.0005170425318105041
3947 0.00073618629815147
2988 0.0009922515640062761
5757 0.0008531173881076342
300 0.1467335562987737
2036 0.001427861152812037
462 0.0650759219088937
4110 0.0007189724768903819
1010 0.01176343600663337
908 0.004201292929685413
168 0.05959509552323924
2365 0.0012398808054574788
2475 0.0017765365865608387
5025 0.0005841810057990303
3737 0.0007890308100200609
4684 0.0006325913469016792
3476 0.0008388042155458602
1845 0.001549006813278545
3696 0.0007960915944677785
3182 0.0009312442217116044
128 0.1263533464566929
3501 0.0008306198229077406
2299 0.0012761442046736937
534 0.00867114980570722
128 0.12303149606299213
2000 0.001288144072036018
1439 0.003811950232012843
2000 0.0008429214607303652
1860 0.0032333258139709753
3615 0.000803697928985251
128 0.10137795275590551
2720 0.0018940787054063995
1033 0.0030617528535086336
4476 0.0006623032336333818
4159 0.0007029384283531915
561 0.0009358288770053476
600 0.09737340011129661
1794 0.001584882619825271
4173 0.0007139675018995097
5448 0.000540652454691545
1072 0.003945608093983862
501 0.006035928143712575
2119 0.0013796662330700113
800 0.011264080100125156
1704 0.0029635633334160376
3426 0.0008460846851683775
3136 0.001150807212837288
3621 0.0007926445031362478
5640 0.0005170425318105041
42 0.13240418118466898
4212 0.0006899805443302633
501 0.011952095808383233
2639 0.0011132367149203311
1412 0.0032916200713535696
4854 0.0006073068188253397
256 0.025214460784313726
4389 0.0004918237418357362
