instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 pathlad
grid2-2-knight4-SAT 0 0 0 0 0 0 0 0 0 0 0 0
grid2-3-knight4-UNSAT 0 0 0 0 0 0 0 0 0 0 0 0
grid2-5-knight5-SAT 0 0 0 0 0 0 0 0 0 0 0 0
grid2-6-knight5-UNSAT 0 0 0 0 0 0 0 0 0 0 0 2
grid2-8-knight6-SAT 0 0 0 0 0 0 0 0 0 0 0 2
grid2-9-knight6-UNSAT 1 1 1 1 1 1 3 3 3 2 5 13
grid2-8-knight7-SAT 0 0 0 0 0 0 0 0 0 0 0 1
grid2-9-knight7-UNSAT 3 4 8 8 8 6 18 12 18 11 19 60
grid2-10-knight8-SAT 0 0 0 0 0 0 1 2 0 0 0 2
grid2-11-knight8-UNSAT 28 20 20 20 20 25 78 55 60 53 125 179
grid2-12-knight9-SAT 1 1 1 1 1 3 3 1 2 1 0 4
grid2-13-knight9-UNSAT 66 79 130 133 83 140 214 251 229 158 399 1251
grid2-15-knight10-SAT 17 20 12 20 13 16 101 38 24 15 39 64
grid2-16-knight10-UNSAT 286 382 372 424 352 475 979 1227 939 639 1390 5440
grid2-19-knight11-SAT 37 43 25 25 27 34 682 70 37 16 0 37
grid2-20-knight11-UNSAT 1410 1678 1680 1655 1692 2260 5839 7154 4311 2915 6519 32321
grid2-24-knight12-SAT 5248 6017 6052 6103 5359 8568 22491 20908 237 164 233 843
grid2-25-knight12-UNSAT 8498 9819 9758 9842 9788 13972 45625 55003 25975 17796 39201 208886
grid2-28-knight13-SAT 7323 8372 8331 8385 7608 12033 59981 45312 1551 1162 2378 5061
grid2-29-knight13-UNSAT 65140 74447 74511 74906 75312 110256 396700 470197 199820 125752 293891 1502785
grid2-32-knight14-SAT 3412 3962 4086 3695 3667 5538 1905 255560 112639 69205 158620 450031
grid2-33-knight14-UNSAT 613435 707342 706127 707121 692787 1057271 4227785 5076958 1959928 1258610 2783661 10000000
grid2-36-knight15-SAT 4473648 5191058 5121863 5155583 4478382 7844687 10000000 10000000 79519 50339 2 81056
