instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
grid2-2-knight4-SAT 0 0 0 0 0 0 0 0 0 0 0
grid2-3-knight4-UNSAT 0 0 0 0 0 0 0 0 0 0 0
grid2-5-knight5-SAT 0 0 0 0 0 0 0 0 0 0 0
grid2-6-knight5-UNSAT 0 0 0 0 0 0 0 0 0 0 0
grid2-8-knight6-SAT 0 0 0 0 0 0 0 0 0 0 0
grid2-9-knight6-UNSAT 0 1 1 1 1 1 2 3 3 2 4
grid2-8-knight7-SAT 0 0 0 0 0 0 0 0 0 0 0
grid2-9-knight7-UNSAT 4 5 4 4 8 10 11 16 15 12 20
grid2-10-knight8-SAT 0 0 0 0 0 0 2 1 0 0 0
grid2-11-knight8-UNSAT 16 20 20 20 20 25 44 56 59 55 87
grid2-12-knight9-SAT 1 1 2 2 1 2 2 2 1 1 0
grid2-13-knight9-UNSAT 63 80 122 135 139 103 346 266 328 213 347
grid2-15-knight10-SAT 9 12 12 12 13 16 96 38 15 15 29
grid2-16-knight10-UNSAT 271 332 378 370 393 477 1018 1214 904 628 1372
grid2-19-knight11-SAT 20 25 25 25 27 34 657 69 31 21 0
grid2-20-knight11-UNSAT 1304 1688 1684 1664 1754 2255 5842 7114 4306 2893 6633
grid2-24-knight12-SAT 4823 6064 6012 6044 5442 8751 22606 20984 361 143 209
grid2-25-knight12-UNSAT 7755 9771 9761 9729 9863 13926 46025 54991 26015 17022 38226
grid2-28-knight13-SAT 6292 8244 8382 8273 7593 12092 60227 45293 1540 1011 2280
grid2-29-knight13-UNSAT 58981 74643 75882 74393 74414 110116 397118 469075 200569 126200 292810
grid2-32-knight14-SAT 2785 3764 3816 3751 3448 5455 1908 255703 112666 69164 158409
grid2-33-knight14-UNSAT 554312 708512 712057 712763 689843 1057102 4218985 5085722 1948045 1181060 2784494
grid2-36-knight15-SAT 3866617 5121895 5131685 5194282 4446032 7825426 10000560 10000923 79608 50529 2
grid2-37-knight15-UNSAT 6078311 7752565 7729771 7746493 7472274 10000000 10000576 10002317 TIMEOUT TIMEOUT TIMEOUT
grid2-40-knight16-SAT 528770 726421 727209 720910 648404 1097532 10001221 8081209 45975 27932 9641
grid2-41-knight16-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000614 10001004 TIMEOUT TIMEOUT TIMEOUT
grid2-46-knight17-SAT 6858293 9458240 9417425 9414033 8319798 10000000 10001211 10002142 TIMEOUT TIMEOUT TIMEOUT
grid2-47-knight17-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000579 10002044 TIMEOUT TIMEOUT TIMEOUT
grid2-52-knight18-SAT 10000000 10000000 10000000 10000000 10000000 10000000 10001004 10001887 TIMEOUT TIMEOUT TIMEOUT
grid2-53-knight18-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10001069 10001901 TIMEOUT TIMEOUT TIMEOUT
grid3-1-knight4-SAT 0 0 0 0 0 0 0 0 0 0 0
grid3-2-knight4-UNSAT 0 0 0 0 0 0 0 0 0 0 0
grid3-3-knight5-SAT 0 0 0 0 0 0 0 0 0 0 0
grid3-4-knight5-UNSAT 0 0 0 0 0 0 0 0 0 0 0
grid3-4-knight6-SAT 0 0 0 0 0 0 0 0 0 0 0
grid3-5-knight6-UNSAT 0 0 0 0 0 1 1 1 1 1 2
grid3-5-knight7-SAT 0 0 0 0 0 0 0 0 0 0 1
grid3-6-knight7-UNSAT 1 2 3 3 2 3 4 9 8 6 19
grid3-6-knight8-SAT 0 0 0 0 0 0 1 1 1 1 2
grid3-7-knight8-UNSAT 7 8 13 8 15 11 27 21 27 25 98
grid3-7-knight9-SAT 1 0 1 1 1 1 1 0 2 1 11
grid3-8-knight9-UNSAT 31 25 25 25 25 38 49 74 71 52 676
grid3-10-knight10-SAT 28 13 13 13 11 21 43 82 6 4 495
grid3-11-knight10-UNSAT 132 72 109 72 103 151 276 268 263 169 18366
grid3-11-knight11-SAT 336 190 249 153 157 244 138 316 7 7 2846
grid3-12-knight11-UNSAT 366 214 215 216 202 324 428 675 452 300 144804
grid3-12-knight12-SAT 101 44 73 43 70 69 15 10 20 9 16318
grid3-13-knight12-UNSAT 882 456 469 472 413 753 1185 1730 1072 718 1068134
grid3-14-knight13-SAT 266 152 157 159 162 178 103 266 23 24 339317
grid3-15-knight13-UNSAT 1744 1041 960 961 939 1600 3217 4382 2308 1616 TIMEOUT
grid3-16-knight14-SAT 51 22 13 13 28 37 401 332 540 322 TIMEOUT
grid3-17-knight14-UNSAT 3396 2350 2345 2401 2266 4062 9446 11866 5952 3952 TIMEOUT
grid3-20-knight15-SAT 34 17 17 17 99 31 107 964 257 144 TIMEOUT
grid3-21-knight15-UNSAT 6870 5899 5877 5878 5742 10696 31605 37561 15769 9861 TIMEOUT
grid3-21-knight16-SAT 8 12 12 12 2 13 12 10 117 115 TIMEOUT
grid3-22-knight16-UNSAT 15705 15858 16135 15869 15638 30149 87891 101664 43569 26497 TIMEOUT
grid3-25-knight17-SAT 169 173 167 196 459 208 654 6053 367 175 TIMEOUT
grid3-26-knight17-UNSAT 40087 48187 48621 47632 47474 94907 353674 402606 130581 79294 TIMEOUT
grid3-28-knight18-SAT 1500 1637 1877 1689 3367 3217 497 6070 472 351 TIMEOUT
grid3-29-knight18-UNSAT 126546 169260 166915 165983 162944 340829 1323311 1502699 458452 274748 TIMEOUT
grid3-32-knight19-SAT 4404 4699 4721 4732 11058 9319 9487 19636 1248 668 TIMEOUT
grid3-33-knight19-UNSAT 508981 706358 709651 709018 695556 1477335 6068927 6848586 1855510 1131217 TIMEOUT
