instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si4_b06m_m800.08 0 149 215 218 4
si4_b06m_m800.00 0 166 223 169 4
si4_b06m_m800.06 0 97 162 165 4
si4_b06m_m800.05 0 142 224 214 4
si4_b06m_m800.04 0 171 163 211 4
si4_b06m_m800.09 0 170 164 212 4
si4_b06m_m800.01 0 172 219 217 4
si4_b06m_m800.07 0 95 255 216 4
si4_b06m_m800.03 0 99 220 253 4
si4_b06m_m800.02 0 148 168 171 4
si4_b03_m800.05 0 89 177 196 3
si4_b03_m800.00 0 91 176 194 3
si4_b03_m800.08 0 91 177 196 3
si4_b03_m800.09 0 41 177 309 3
si4_b03_m800.03 0 42 239 272 3
si4_b03_m800.02 0 42 255 194 3
si4_b03_m800.04 0 41 233 264 3
si4_b03_m800.01 0 91 176 251 3
si4_b03_m800.06 0 91 176 196 3
si4_b03_m800.07 0 91 176 224 3
si4_b06_m400.06 0 10 43 45 3
si4_b06_m400.07 0 21 46 77 3
si4_b06_m400.09 0 21 44 92 3
si4_b06_m400.01 0 21 44 92 3
si4_b06_m400.04 0 21 44 92 3
si4_b06_m400.03 0 21 43 93 3
si4_b06_m400.00 0 21 43 93 3
si4_b06_m400.05 0 21 44 92 3
si4_b06_m400.08 0 21 43 93 3
si4_b06_m400.02 0 21 44 93 3
si2_b03m_m800.03 0 105 107 108 4
si2_b03m_m800.02 0 108 105 228 4
si2_b03m_m800.09 0 52 110 111 4
si2_b03m_m800.04 0 77 109 145 4
si2_b03m_m800.06 0 104 109 133 4
si2_b03m_m800.05 0 104 108 162 4
si2_b03m_m800.01 0 51 108 162 4
si2_b03m_m800.08 0 52 108 109 4
si2_b03m_m800.07 1000000 106 107 109 4
si2_b03m_m800.00 0 100 105 109 4
si6_b03m_m800.01 0 251 261 256 4
si6_b03m_m800.08 0 200 200 248 4
si6_b03m_m800.03 32 148 197 248 4
si6_b03m_m800.00 0 308 196 249 4
si6_b03m_m800.04 0 153 195 263 4
si6_b03m_m800.05 0 206 276 270 4
si6_b03m_m800.07 1 212 272 250 4
si6_b03m_m800.06 0 157 200 263 4
si6_b03m_m800.09 0 207 269 268 4
si6_b03m_m800.02 0 216 252 248 4
si6_b09m_m400.03 0 72 57 73 4
si6_b09m_m400.07 0 33 104 61 4
si6_b09m_m400.00 0 38 105 118 4
si6_b09m_m400.04 0 33 58 60 4
si6_b09m_m400.06 0 71 57 60 4
si6_b09m_m400.08 0 72 57 58 4
si6_b09m_m400.02 0 69 58 59 4
si6_b09m_m400.05 0 71 57 60 4
si6_b09m_m400.09 0 74 57 61 4
si6_b09m_m400.01 0 70 57 60 4
si2_b09_m200.08 0 3 18 9 3
si2_b09_m200.01 0 3 8 18 3
si2_b09_m200.06 0 3 8 18 3
si2_b09_m200.05 0 1 17 8 3
si2_b09_m200.00 0 3 8 17 3
si2_b09_m200.02 0 3 17 8 3
si2_b09_m200.03 0 3 8 18 3
si2_b09_m200.04 0 3 17 8 3
si2_b09_m200.09 0 3 11 18 3
si2_b09_m200.07 0 1 8 18 3
si2_b06_m200.02 0 3 16 16 3
si2_b06_m200.00 0 3 16 16 3
si2_b06_m200.01 0 3 16 16 3
si2_b06_m200.06 0 3 16 16 3
si2_b06_m200.09 0 3 16 16 3
si2_b06_m200.07 0 3 16 16 3
si2_b06_m200.04 0 3 16 16 3
si2_b06_m200.08 0 3 16 16 3
si2_b06_m200.03 0 3 16 16 3
si2_b06_m200.05 0 3 15 16 3
si2_b09m_m800.09 0 174 164 273 4
si2_b09m_m800.07 18628 102 256 288 4
si2_b09m_m800.00 0 101 161 275 4
si2_b09m_m800.04 0 103 259 286 4
si2_b09m_m800.02 0 73 280 282 4
si2_b09m_m800.05 0 60 282 148 4
si2_b09m_m800.03 0 103 199 288 4
si2_b09m_m800.08 0 99 135 182 4
si2_b09m_m800.06 0 109 194 283 4
si2_b09m_m800.01 0 100 201 277 4
si4_b03_m400.01 0 21 88 89 3
si4_b03_m400.02 0 21 88 59 3
si4_b03_m400.05 0 21 88 88 3
si4_b03_m400.07 0 21 78 89 3
si4_b03_m400.06 0 21 89 89 3
si4_b03_m400.00 0 21 87 89 3
si4_b03_m400.03 0 21 88 66 3
si4_b03_m400.04 0 21 89 89 3
si4_b03_m400.09 0 21 87 89 3
si4_b03_m400.08 0 10 87 89 3
si2_b03_m200.05 0 3 14 14 3
si2_b03_m200.09 0 3 14 15 3
si2_b03_m200.07 0 3 14 15 3
si2_b03_m200.01 0 3 14 15 3
si2_b03_m200.08 0 3 15 15 3
si2_b03_m200.02 0 3 14 15 3
si2_b03_m200.04 0 3 14 15 3
si2_b03_m200.03 0 3 14 15 3
si2_b03_m200.06 0 3 14 14 3
si2_b03_m200.00 0 3 14 14 3
si4_b09_m400.05 0 21 46 97 3
si4_b09_m400.03 0 10 96 49 3
si4_b09_m400.00 0 21 46 79 3
si4_b09_m400.07 0 22 46 99 3
si4_b09_m400.01 0 17 46 97 3
si4_b09_m400.06 0 21 46 98 3
si4_b09_m400.04 0 10 96 48 3
si4_b09_m400.02 0 21 46 62 3
si4_b09_m400.08 0 22 45 79 3
si4_b09_m400.09 0 21 46 96 3
si4_b06m_m400.06 0 46 41 42 4
si4_b06m_m400.03 0 23 80 42 4
si4_b06m_m400.01 0 47 40 42 4
si4_b06m_m400.08 0 47 40 42 4
si4_b06m_m400.05 0 48 41 43 4
si4_b06m_m400.07 0 45 41 42 4
si4_b06m_m400.00 0 47 41 42 4
si4_b06m_m400.04 0 45 41 84 4
si4_b06m_m400.09 0 23 83 43 4
si4_b06m_m400.02 0 47 40 83 4
si4_b03m_m400.03 0 48 70 72 4
si4_b03m_m400.09 0 49 37 74 4
si4_b03m_m400.08 0 53 72 74 4
si4_b03m_m400.04 0 51 72 75 4
si4_b03m_m400.00 0 48 73 74 4
si4_b03m_m400.01 0 51 73 75 4
si4_b03m_m400.07 0 48 35 73 4
si4_b03m_m400.02 0 50 74 75 4
si4_b03m_m400.06 0 48 75 77 4
si4_b03m_m400.05 0 47 71 72 4
si2_b03m_m400.02 1 12 54 26 4
si2_b03m_m400.00 0 12 27 26 4
si2_b03m_m400.01 0 24 26 55 4
si2_b03m_m400.05 0 52 26 26 4
si2_b03m_m400.08 0 25 26 54 4
si2_b03m_m400.07 0 25 52 26 4
si2_b03m_m400.09 0 24 25 54 4
si2_b03m_m400.03 0 24 27 26 4
si2_b03m_m400.04 0 24 26 55 4
si2_b03m_m400.06 0 24 26 26 4
si2_b03m_m200.05 0 6 6 13 4
si2_b03m_m200.03 0 6 13 13 4
si2_b03m_m200.00 0 6 7 14 4
si2_b03m_m200.08 0 6 13 6 4
si2_b03m_m200.06 0 6 6 13 4
si2_b03m_m200.02 0 6 13 6 4
si2_b03m_m200.09 0 6 14 14 4
si2_b03m_m200.04 0 6 13 13 4
si2_b03m_m200.01 0 6 6 13 4
si2_b03m_m200.07 0 6 6 6 4
si2_b09m_m400.09 0 24 34 69 4
si2_b09m_m400.03 0 23 35 70 4
si2_b09m_m400.01 0 12 68 34 4
si2_b09m_m400.08 0 26 34 65 4
si2_b09m_m400.05 0 26 35 65 4
si2_b09m_m400.06 0 25 34 69 4
si2_b09m_m400.00 0 25 34 35 4
si2_b09m_m400.02 0 24 35 64 4
si2_b09m_m400.04 0 24 34 69 4
si2_b09m_m400.07 0 24 35 35 4
si2_b09_m800.07 0 48 130 132 3
si2_b09_m800.04 0 23 189 192 3
si2_b09_m800.05 0 48 129 131 3
si2_b09_m800.00 0 48 167 182 3
si2_b09_m800.02 0 48 128 131 3
si2_b09_m800.01 0 22 158 194 3
si2_b09_m800.08 0 23 181 130 3
si2_b09_m800.09 0 48 129 130 3
si2_b09_m800.03 0 48 132 131 3
si2_b09_m800.06 0 48 128 130 3
si6_b03_m400.04 0 32 56 58 3
si6_b03_m400.09 0 33 55 58 3
si6_b03_m400.02 0 32 56 59 3
si6_b03_m400.06 0 33 55 106 3
si6_b03_m400.05 0 36 56 58 3
si6_b03_m400.08 0 14 118 107 3
si6_b03_m400.01 0 33 98 111 3
si6_b03_m400.07 0 33 55 58 3
si6_b03_m400.03 0 33 55 58 3
si6_b03_m400.00 0 33 55 58 3
si2_b09_m400.04 0 11 66 32 3
si2_b09_m400.08 0 5 32 67 3
si2_b09_m400.05 0 11 32 68 3
si2_b09_m400.01 0 11 67 32 3
si2_b09_m400.03 0 11 66 66 3
si2_b09_m400.02 0 11 64 67 3
si2_b09_m400.07 0 11 67 66 3
si2_b09_m400.09 0 11 66 67 3
si2_b09_m400.06 0 5 66 32 3
si2_b09_m400.00 0 11 67 67 3
si4_b06_m200.06 0 5 23 23 3
si4_b06_m200.03 0 5 23 23 3
si4_b06_m200.02 0 5 23 11 3
si4_b06_m200.07 0 5 11 11 3
si4_b06_m200.05 0 5 23 23 3
si4_b06_m200.08 0 5 23 23 3
si4_b06_m200.00 0 5 23 23 3
si4_b06_m200.04 0 5 23 23 3
si4_b06_m200.01 0 2 23 23 3
si4_b06_m200.09 0 5 21 23 3
si6_b09_m800.03 1 139 262 268 3
si6_b09_m800.09 1 63 262 482 3
si6_b09_m800.07 1 139 341 276 3
si6_b09_m800.05 1 64 262 468 3
si6_b09_m800.04 1 63 551 397 3
si6_b09_m800.01 1 68 554 272 3
si6_b09_m800.00 1 94 553 530 3
si6_b09_m800.02 1 74 287 270 3
si6_b09_m800.06 1 113 553 374 3
si6_b09_m800.08 0 64 552 565 3
si6_b06m_m400.00 0 34 52 105 4
si6_b06m_m400.08 0 68 51 103 4
si6_b06m_m400.03 0 52 101 102 4
si6_b06m_m400.04 0 57 63 53 4
si6_b06m_m400.06 0 70 62 103 4
si6_b06m_m400.07 0 37 99 51 4
si6_b06m_m400.09 0 71 102 104 4
si6_b06m_m400.02 0 66 98 101 4
si6_b06m_m400.01 0 68 49 80 4
si6_b06m_m400.05 0 34 102 104 4
si4_b09m_m200.01 0 11 25 25 4
si4_b09m_m200.00 0 12 25 25 4
si4_b09m_m200.03 0 11 25 25 4
si4_b09m_m200.06 0 11 25 25 4
si4_b09m_m200.02 0 11 25 25 4
si4_b09m_m200.04 0 13 24 24 4
si4_b09m_m200.05 0 12 24 25 4
si4_b09m_m200.07 0 11 12 25 4
si4_b09m_m200.08 0 12 24 25 4
si4_b09m_m200.09 0 11 25 25 4
si2_b06m_m400.03 0 25 30 62 4
si2_b06m_m400.06 0 25 34 62 4
si2_b06m_m400.05 0 25 60 61 4
si2_b06m_m400.01 0 25 61 34 4
si2_b06m_m400.00 0 25 60 61 4
si2_b06m_m400.08 0 31 60 61 4
si2_b06m_m400.07 0 25 60 61 4
si2_b06m_m400.09 0 27 61 61 4
si2_b06m_m400.04 0 26 62 31 4
si2_b06m_m400.02 0 23 30 61 4
si6_b03_m800.02 0 63 528 538 3
si6_b03_m800.04 0 64 259 255 3
si6_b03_m800.03 0 139 332 386 3
si6_b03_m800.05 0 65 245 298 3
si6_b03_m800.06 0 138 449 396 3
si6_b03_m800.01 0 138 514 461 3
si6_b03_m800.00 0 63 244 536 3
si6_b03_m800.07 0 138 349 249 3
si6_b03_m800.09 0 139 361 488 3
si6_b03_m800.08 0 139 254 316 3
si6_b03m_m400.03 0 75 94 54 4
si6_b03m_m400.01 0 72 94 96 4
si6_b03m_m400.09 0 56 94 97 4
si6_b03m_m400.08 0 43 45 94 4
si6_b03m_m400.07 0 72 92 94 4
si6_b03m_m400.02 0 79 44 46 4
si6_b03m_m400.05 0 72 45 95 4
si6_b03m_m400.00 0 64 70 94 4
si6_b03m_m400.06 0 72 93 46 4
si6_b03m_m400.04 0 75 74 95 4
si6_b06m_m800.07 1 301 246 345 4
si6_b06m_m800.04 1 291 442 387 4
si6_b06m_m800.01 1 151 209 256 4
si6_b06m_m800.00 1 301 431 441 4
si6_b06m_m800.05 1 306 207 441 4
si6_b06m_m800.08 1 242 432 446 4
si6_b06m_m800.09 1 296 211 322 4
si6_b06m_m800.02 1 159 212 219 4
si6_b06m_m800.03 1 272 439 447 4
si6_b06m_m800.06 1 298 437 219 4
si2_b03_m800.07 0 47 260 264 3
si2_b03_m800.08 0 47 146 263 3
si2_b03_m800.04 0 47 261 264 3
si2_b03_m800.05 0 47 259 146 3
si2_b03_m800.09 0 47 261 263 3
si2_b03_m800.00 0 47 260 263 3
si2_b03_m800.02 0 47 228 263 3
si2_b03_m800.03 0 47 259 262 3
si2_b03_m800.01 0 47 121 264 3
si2_b03_m800.06 0 47 260 167 3
si4_b03m_m200.05 0 11 18 18 4
si4_b03m_m200.02 0 12 18 18 4
si4_b03m_m200.04 0 12 17 18 4
si4_b03m_m200.07 0 12 17 17 4
si4_b03m_m200.00 0 12 18 18 4
si4_b03m_m200.06 0 12 18 18 4
si4_b03m_m200.03 0 11 18 18 4
si4_b03m_m200.09 0 11 18 18 4
si4_b03m_m200.08 0 12 17 18 4
si4_b03m_m200.01 0 12 17 17 4
si2_b06m_m200.04 0 6 16 16 4
si2_b06m_m200.03 0 6 15 15 4
si2_b06m_m200.08 0 5 15 16 4
si2_b06m_m200.06 0 6 16 16 4
si2_b06m_m200.05 0 6 15 15 4
si2_b06m_m200.02 0 6 16 16 4
si2_b06m_m200.00 0 6 16 16 4
si2_b06m_m200.01 0 6 16 16 4
si2_b06m_m200.09 0 6 16 16 4
si2_b06m_m200.07 0 7 16 16 4
si4_b03_m200.06 0 5 21 21 3
si4_b03_m200.02 0 5 21 16 3
si4_b03_m200.07 0 5 21 21 3
si4_b03_m200.04 0 5 21 21 3
si4_b03_m200.03 0 5 21 21 3
si4_b03_m200.05 0 5 21 22 3
si4_b03_m200.09 0 5 21 21 3
si4_b03_m200.01 0 5 21 21 3
si4_b03_m200.00 0 5 21 21 3
si4_b03_m200.08 0 5 21 21 3
si2_b03_m400.03 0 11 59 60 3
si2_b03_m400.06 0 11 59 61 3
si2_b03_m400.07 0 11 59 60 3
si2_b03_m400.01 0 11 59 60 3
si2_b03_m400.05 0 11 59 60 3
si2_b03_m400.09 0 11 59 60 3
si2_b03_m400.02 0 11 59 61 3
si2_b03_m400.00 0 11 59 60 3
si2_b03_m400.08 0 11 59 60 3
si2_b03_m400.04 0 11 60 60 3
si4_b09_m200.02 0 5 25 25 3
si4_b09_m200.01 0 5 25 25 3
si4_b09_m200.00 0 5 25 25 3
si4_b09_m200.09 0 5 25 25 3
si4_b09_m200.08 0 5 25 25 3
si4_b09_m200.04 0 5 24 25 3
si4_b09_m200.06 0 5 25 25 3
si4_b09_m200.05 0 5 25 25 3
si4_b09_m200.07 0 5 25 25 3
si4_b09_m200.03 0 5 25 25 3
si4_b09_m800.03 0 90 409 422 3
si4_b09_m800.02 0 91 410 420 3
si4_b09_m800.09 0 91 305 422 3
si4_b09_m800.06 0 91 409 266 3
si4_b09_m800.04 0 91 409 421 3
si4_b09_m800.05 0 90 409 424 3
si4_b09_m800.00 0 91 409 422 3
si4_b09_m800.01 0 91 255 420 3
si4_b09_m800.07 0 91 410 217 3
si4_b09_m800.08 0 91 407 422 3
si6_b06_m800.00 0 139 538 297 3
si6_b06_m800.05 0 100 537 547 3
si6_b06_m800.02 0 139 542 548 3
si6_b06_m800.07 0 139 370 256 3
si6_b06_m800.08 0 138 540 405 3
si6_b06_m800.09 0 139 540 547 3
si6_b06_m800.06 0 137 503 546 3
si6_b06_m800.01 0 139 539 547 3
si6_b06_m800.04 0 138 620 545 3
si6_b06_m800.03 0 138 538 543 3
si4_b09m_m800.06 0 205 395 398 4
si4_b09m_m800.01 0 200 237 318 4
si4_b09m_m800.02 0 198 385 391 4
si4_b09m_m800.08 0 196 387 391 4
si4_b09m_m800.04 0 200 188 191 4
si4_b09m_m800.03 0 200 389 191 4
si4_b09m_m800.09 1 201 191 392 4
si4_b09m_m800.05 0 192 395 400 4
si4_b09m_m800.00 0 204 281 394 4
si4_b09m_m800.07 0 196 394 402 4
si2_b06_m800.04 0 48 267 126 3
si2_b06_m800.07 0 47 269 271 3
si2_b06_m800.02 0 48 268 272 3
si2_b06_m800.00 0 47 122 129 3
si2_b06_m800.03 0 47 221 271 3
si2_b06_m800.05 0 47 140 271 3
si2_b06_m800.09 0 47 266 271 3
si2_b06_m800.01 0 48 268 203 3
si2_b06_m800.08 0 46 248 271 3
si2_b06_m800.06 0 47 123 299 3
si2_b06m_m800.07 0 110 261 247 4
si2_b06m_m800.02 0 53 123 126 4
si2_b06m_m800.03 0 103 260 261 4
si2_b06m_m800.01 1 103 254 257 4
si2_b06m_m800.08 0 74 259 261 4
si2_b06m_m800.04 0 50 257 178 4
si2_b06m_m800.06 0 99 147 123 4
si2_b06m_m800.09 0 106 258 260 4
si2_b06m_m800.05 0 105 260 261 4
si2_b06m_m800.00 0 101 124 188 4
si4_b06m_m200.00 0 12 21 21 4
si4_b06m_m200.08 0 12 21 21 4
si4_b06m_m200.05 0 11 21 10 4
si4_b06m_m200.09 0 11 21 21 4
si4_b06m_m200.01 0 11 11 21 4
si4_b06m_m200.07 0 11 21 21 4
si4_b06m_m200.02 0 5 21 10 4
si4_b06m_m200.04 0 11 21 21 4
si4_b06m_m200.06 0 11 21 21 4
si4_b06m_m200.03 0 6 10 10 4
si6_b09m_m800.02 1 145 238 496 4
si6_b09m_m800.09 1 177 299 458 4
si6_b09m_m800.04 1 293 233 480 4
si6_b09m_m800.07 1 152 336 243 4
si6_b09m_m800.00 1 299 310 401 4
si6_b09m_m800.05 1 197 488 496 4
si6_b09m_m800.03 1 301 315 468 4
si6_b09m_m800.01 1 295 236 490 4
si6_b09m_m800.06 1 296 485 281 4
si6_b09m_m800.08 1 144 239 496 4
si2_b06_m400.09 0 5 30 30 3
