instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
all-images-CVIU11-pattern1-target1 0 668 3363 3350 14
all-images-CVIU11-pattern1-target10 1000000 1000000 1000002 1000294 14
all-images-CVIU11-pattern1-target100 1000000 1000000 1000001 1000354 14
all-images-CVIU11-pattern1-target101 1000000 1000000 1000001 1000404 14
all-images-CVIU11-pattern1-target102 1000000 1000000 1000002 1000342 14
all-images-CVIU11-pattern1-target103 1000000 1000000 1000002 1000372 14
all-images-CVIU11-pattern1-target104 1000001 1000000 1000003 1000242 14
all-images-CVIU11-pattern1-target105 1000001 1000000 1000004 1000280 14
all-images-CVIU11-pattern1-target106 1000000 1000000 1000003 1000318 14
all-images-CVIU11-pattern1-target107 1000000 1000000 1000002 1000347 14
all-images-CVIU11-pattern1-target108 1000001 1000001 1000007 1000175 14
all-images-CVIU11-pattern1-target109 1000000 1000000 1000004 1000248 14
all-images-CVIU11-pattern1-target11 1000000 1000000 1000001 1000415 14
all-images-CVIU11-pattern1-target110 1000000 1000000 1000001 1000396 14
all-images-CVIU11-pattern1-target111 1000000 1000000 1000002 1000348 14
all-images-CVIU11-pattern1-target112 1000000 1000000 1000002 1000432 14
all-images-CVIU11-pattern1-target113 1000000 1000000 1000002 1000374 14
all-images-CVIU11-pattern1-target114 1000000 1000000 1000001 1000302 14
all-images-CVIU11-pattern1-target115 1000000 1000000 1000003 1000319 14
all-images-CVIU11-pattern1-target116 1000001 1000002 1000007 1000160 14
all-images-CVIU11-pattern1-target117 1000000 1000000 1000003 1000260 14
all-images-CVIU11-pattern1-target118 1000000 1000000 1000002 1000294 14
all-images-CVIU11-pattern1-target119 1000001 1000002 1000006 1000196 14
all-images-CVIU11-pattern1-target12 1000000 1000000 1000003 1000323 14
all-images-CVIU11-pattern1-target120 1000000 1000000 1000004 1000265 14
all-images-CVIU11-pattern1-target121 1000001 1000001 1000005 1000232 14
all-images-CVIU11-pattern1-target122 1000000 1000000 1000002 1000301 14
all-images-CVIU11-pattern1-target123 1000000 1000001 1000006 1000218 14
all-images-CVIU11-pattern1-target124 1000000 1000000 1000003 1000276 14
all-images-CVIU11-pattern1-target125 1000000 1000000 1000004 1000256 14
all-images-CVIU11-pattern1-target126 1000000 1000000 1000000 1000384 14
all-images-CVIU11-pattern1-target127 1000000 1000000 1000000 1000437 14
all-images-CVIU11-pattern1-target128 1000000 1000000 1000004 1000233 14
all-images-CVIU11-pattern1-target129 1000000 1000000 1000001 1000386 14
all-images-CVIU11-pattern1-target13 1000000 1000000 1000003 1000247 14
all-images-CVIU11-pattern1-target130 1000000 1000000 1000001 1000348 14
all-images-CVIU11-pattern1-target131 1000000 1000001 1000002 1000320 14
all-images-CVIU11-pattern1-target132 1000000 1000000 1000002 1000356 14
all-images-CVIU11-pattern1-target133 1000000 1000000 1000002 1000305 14
all-images-CVIU11-pattern1-target134 1000000 1000000 1000002 1000303 14
all-images-CVIU11-pattern1-target135 1000000 1000000 1000002 1000368 14
all-images-CVIU11-pattern1-target136 1000000 1000000 1000002 1000325 14
all-images-CVIU11-pattern1-target137 1000000 1000000 1000001 1000374 14
all-images-CVIU11-pattern1-target138 1000001 1000002 1000007 1000175 14
all-images-CVIU11-pattern1-target139 1000000 1000000 1000001 1000326 14
all-images-CVIU11-pattern1-target14 1000000 1000000 1000001 1000299 14
all-images-CVIU11-pattern1-target140 1000000 1000000 1000001 1000428 14
all-images-CVIU11-pattern1-target141 1000000 1000000 1000001 1000336 14
all-images-CVIU11-pattern1-target142 1000000 1000000 1000002 1000337 14
all-images-CVIU11-pattern1-target143 1000000 1000000 1000001 1000342 14
all-images-CVIU11-pattern1-target144 1000000 1000000 1000002 1000301 14
all-images-CVIU11-pattern1-target145 1000000 1000000 1000001 1000335 14
all-images-CVIU11-pattern1-target146 1000001 1000000 1000004 1000252 14
all-images-CVIU11-pattern1-target15 1000000 1000000 1000001 1000393 14
all-images-CVIU11-pattern1-target16 1000000 1000000 1000001 1000327 14
all-images-CVIU11-pattern1-target17 1000001 1000000 1000003 1000253 14
all-images-CVIU11-pattern1-target18 1000000 1000000 1000004 1000270 14
all-images-CVIU11-pattern1-target19 1000001 1000002 1000008 1000198 14
all-images-CVIU11-pattern1-target2 1000000 1000000 1000003 1000366 14
all-images-CVIU11-pattern1-target20 1000001 1000001 1000004 1000274 14
all-images-CVIU11-pattern1-target21 1000000 1000000 1000003 1000299 14
all-images-CVIU11-pattern1-target22 1000000 1000000 1000002 1000336 14
all-images-CVIU11-pattern1-target23 1000000 1000000 1000003 1000283 14
all-images-CVIU11-pattern1-target24 1000000 1000000 1000000 1000399 14
all-images-CVIU11-pattern1-target25 1000000 1000000 1000002 1000349 14
all-images-CVIU11-pattern1-target26 1000000 1000000 1000001 1000290 14
all-images-CVIU11-pattern1-target27 1000000 1000000 1000003 1000310 14
all-images-CVIU11-pattern1-target28 1000000 1000000 1000001 1000330 14
all-images-CVIU11-pattern1-target29 1000001 1000001 1000007 1000177 14
all-images-CVIU11-pattern1-target3 1000001 1000000 1000004 1000259 14
all-images-CVIU11-pattern1-target30 1000001 1000000 1000004 1000219 14
all-images-CVIU11-pattern1-target31 1000000 1000000 1000003 1000281 14
all-images-CVIU11-pattern1-target32 1000001 1000002 1000009 1000169 14
all-images-CVIU11-pattern1-target33 1000001 1000003 1000008 1000180 14
all-images-CVIU11-pattern1-target34 1000000 1000000 1000003 1000278 14
all-images-CVIU11-pattern1-target35 1000001 1000002 1000007 1000173 14
all-images-CVIU11-pattern1-target36 1000000 1000000 1000002 1000344 14
all-images-CVIU11-pattern1-target37 1000001 1000002 1000007 1000173 14
all-images-CVIU11-pattern1-target38 1000000 1000001 1000005 1000187 14
all-images-CVIU11-pattern1-target39 1000000 1000000 1000002 1000370 14
all-images-CVIU11-pattern1-target4 1000000 1000000 1000003 1000283 14
all-images-CVIU11-pattern1-target40 1000001 1000000 1000003 1000249 14
all-images-CVIU11-pattern1-target41 1000000 1000000 1000003 1000294 14
all-images-CVIU11-pattern1-target42 1000000 1000000 1000003 1000312 14
all-images-CVIU11-pattern1-target43 1000001 1000002 1000006 1000217 14
all-images-CVIU11-pattern1-target44 1000001 1000001 1000008 1000199 14
all-images-CVIU11-pattern1-target45 1000001 1000001 1000006 1000231 14
all-images-CVIU11-pattern1-target46 1000000 1000000 1000003 1000316 14
all-images-CVIU11-pattern1-target47 1000001 1000001 1000005 1000174 14
all-images-CVIU11-pattern1-target48 1000000 1000000 1000002 1000358 14
all-images-CVIU11-pattern1-target49 1000000 1000000 1000003 1000293 14
all-images-CVIU11-pattern1-target5 1000001 1000001 1000005 1000214 14
all-images-CVIU11-pattern1-target50 1000000 1000001 1000006 1000167 14
all-images-CVIU11-pattern1-target51 1000000 1000000 1000002 1000270 14
all-images-CVIU11-pattern1-target52 1000000 1000000 1000002 1000264 14
all-images-CVIU11-pattern1-target53 1000000 1000000 1000002 1000319 14
all-images-CVIU11-pattern1-target54 1000000 1000000 1000002 1000350 14
all-images-CVIU11-pattern1-target55 1000000 1000000 1000001 1000307 14
all-images-CVIU11-pattern1-target56 1000000 1000000 1000001 1000320 14
all-images-CVIU11-pattern1-target57 1000001 1000003 1000008 1000161 14
all-images-CVIU11-pattern1-target58 1000000 1000000 1000001 1000346 14
all-images-CVIU11-pattern1-target59 1000001 1000000 1000005 1000273 14
all-images-CVIU11-pattern1-target6 1000001 1000001 1000004 1000204 14
all-images-CVIU11-pattern1-target60 1000000 1000000 1000002 1000323 14
all-images-CVIU11-pattern1-target61 1000001 1000000 1000004 1000256 14
all-images-CVIU11-pattern1-target62 1000001 1000000 1000005 1000250 14
all-images-CVIU11-pattern1-target63 1000000 1000000 1000004 1000263 14
all-images-CVIU11-pattern1-target64 1000000 1000000 1000003 1000253 14
all-images-CVIU11-pattern1-target65 1000000 1000000 1000002 1000285 14
all-images-CVIU11-pattern1-target66 1000000 1000000 1000002 1000335 14
all-images-CVIU11-pattern1-target67 1000000 1000001 1000005 1000245 14
all-images-CVIU11-pattern1-target68 1000001 1000001 1000006 1000195 14
all-images-CVIU11-pattern1-target69 1000001 1000003 1000007 1000186 14
all-images-CVIU11-pattern1-target7 1000000 1000001 1000004 1000247 14
all-images-CVIU11-pattern1-target70 1000001 1000001 1000005 1000242 14
all-images-CVIU11-pattern1-target71 1000000 1000001 1000004 1000293 14
all-images-CVIU11-pattern1-target72 1000001 1000000 1000004 1000279 14
all-images-CVIU11-pattern1-target73 1000000 1000001 1000005 1000215 14
all-images-CVIU11-pattern1-target74 1000001 1000001 1000006 1000237 14
all-images-CVIU11-pattern1-target75 1000001 1000001 1000006 1000218 14
all-images-CVIU11-pattern1-target76 1000001 1000002 1000007 1000189 14
all-images-CVIU11-pattern1-target77 1000001 1000003 1000007 1000188 14
all-images-CVIU11-pattern1-target78 1000000 1000002 1000007 1000196 14
all-images-CVIU11-pattern1-target79 1000000 1000000 1000001 1000353 14
all-images-CVIU11-pattern1-target8 1000000 1000000 1000003 1000295 14
