instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
g10-g11 1000000 1000000 1000000 1000012 2
g10-g12 1000000 1000000 1000000 1000028 2
g10-g13 1000000 1000000 1000000 1000035 2
g10-g14 1000000 1000000 1000000 1000008 2
g10-g15 1000000 1000000 1000000 1000030 2
g10-g16 1000000 1000000 1000000 1000011 2
g10-g20 1000000 1000000 1000000 1000009 2
g10-g21 480 13348 5434 5763 2
g10-g22 1000000 1000000 1000000 1000065 2
g10-g23 1000000 1000000 1000000 1000029 2
g10-g25 1000000 1000000 1000000 1000000 2
g10-g26 1000000 1000000 1000000 1000011 2
g10-g27 1000000 1000000 1000000 1000055 2
g10-g28 1000000 1000000 1000000 1000015 2
g10-g29 1000000 1000000 1000000 1000039 2
g10-g30 1000000 1000000 1000000 1000015 2
g10-g31 1000000 1000000 1000000 1000032 2
g10-g32 643 2580 1354 1457 2
g10-g33 1000000 1000000 1000000 1000031 2
g10-g37 1000000 1000000 1000000 1000056 2
g10-g38 1000000 1000000 1000000 1000009 2
g10-g40 1000000 1000000 1000000 1000006 2
g10-g41 935339 1000000 1000000 1000021 2
g10-g42 1000000 1000000 1000000 1000130 2
g10-g43 1000000 1000000 1000000 1000076 2
g10-g44 1000000 1000000 1000000 1000027 2
g10-g45 1000000 1000000 1000000 1000032 2
g10-g46 1000000 1000000 1000000 1000041 2
g10-g47 1000000 1000000 1000000 1000041 2
g10-g48 1000000 1000000 1000000 1000037 2
g10-g49 1000000 1000000 1000000 1000097 2
g10-g50 1000000 1000000 1000000 1000022 2
g11-g12 1000000 1000000 1000000 1000006 2
g11-g13 1000000 1000000 1000000 1000007 2
g11-g14 1000000 1000000 1000000 1000023 2
g11-g15 1000000 1000000 1000000 1000028 2
g11-g16 1000000 1000000 1000000 1000024 2
g11-g20 1000000 1000000 1000000 1000020 2
g11-g21 7268 46981 40709 119497 2
g11-g22 1000000 1000000 1000000 1000028 2
g11-g23 1000000 1000000 1000000 1000029 2
g11-g25 1000000 1000000 1000000 1000013 2
g11-g26 1000000 1000000 1000000 1000039 2
g11-g27 1000000 1000000 1000000 1000044 2
g11-g28 1000000 1000000 1000000 1000027 2
g11-g29 1000000 1000000 1000000 1000020 2
g11-g30 1000000 1000000 1000000 1000027 2
g11-g31 1000000 1000000 1000000 1000026 2
g11-g32 708 2339 2037 2831 2
g11-g33 1000000 1000000 1000000 1000092 2
g11-g37 1000000 1000000 1000000 1000016 2
g11-g38 1000000 1000000 1000000 1000004 2
g11-g40 1000000 1000000 1000000 1000023 2
g11-g41 1000000 1000000 1000000 1000100 2
g11-g42 1000000 1000000 1000000 1000132 2
g11-g43 1000000 1000000 1000000 1000060 2
g11-g44 1000000 1000000 1000000 1000025 2
g11-g45 1000000 1000000 1000000 1000020 2
g11-g46 1000000 1000000 1000000 1000012 2
g11-g47 1000000 1000000 1000000 1000018 2
g11-g48 1000000 1000000 1000000 1000003 2
g11-g49 1000000 1000000 1000000 1000032 2
g11-g50 1000000 1000000 1000000 1000006 2
g12-g20 1000000 1000000 1000000 1000002 2
g12-g21 201654 1000000 1000000 1000026 2
g12-g23 1000000 1000000 1000000 1000024 2
g12-g26 1000000 1000000 1000000 661937 2
g12-g27 1000000 1000000 1000000 1000037 2
g12-g29 1000000 1000000 1000000 1000010 2
g12-g30 1000000 1000000 1000000 1000007 2
g12-g31 1000000 1000000 1000000 1000010 2
g12-g32 2304 21990 9315 11098 2
