instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si6_m4Dr6_m625.04 1 181 276 288 6
si6_m4Dr6_m625.01 1 156 187 136 6
si6_m4Dr6_m625.09 1 138 269 286 6
si6_m4Dr6_m625.07 1 181 135 235 6
si6_m4Dr6_m625.00 0 186 193 289 6
si6_m4Dr6_m625.08 1 114 185 193 6
si6_m4Dr6_m625.05 1 145 149 138 6
si6_m4Dr6_m625.06 1 178 275 146 6
si6_m4Dr6_m625.02 1 92 139 285 6
si6_m4Dr6_m625.03 0 142 141 139 6
si4_m4Dr2_m625.09 0 120 105 109 6
si4_m4Dr2_m625.04 2 314 229 152 6
si4_m4Dr2_m625.02 0 104 100 102 6
si4_m4Dr2_m625.07 0 131 201 101 6
si4_m4Dr2_m625.00 0 86 102 211 6
si4_m4Dr2_m625.08 0 137 110 104 6
si4_m4Dr2_m625.01 0 129 170 212 6
si4_m4Dr2_m625.06 0 91 205 104 6
si4_m4Dr2_m625.03 1 239 213 107 6
si4_m4Dr2_m625.05 0 98 105 108 6
si2_m4Dr2_m256.09 5 28 26 27 6
si2_m4Dr2_m256.03 37 258 149 138 6
si2_m4Dr2_m256.04 28 24 79 45 6
si2_m4Dr2_m256.07 0 40 12 25 6
si2_m4Dr2_m256.00 4 58 25 12 6
si2_m4Dr2_m256.06 21 243 32 63 6
si2_m4Dr2_m256.08 0 9 24 12 6
si2_m4Dr2_m256.05 0 9 11 23 6
si2_m4Dr2_m256.01 0 9 25 12 6
si2_m4Dr2_m256.02 0 18 24 12 6
si2_m4Dr2_m1296.05 1 156 646 726 6
si2_m4Dr2_m1296.09 2 1073 557 497 6
si2_m4Dr2_m1296.02 7 1242 556 523 6
si2_m4Dr2_m1296.07 11 921 356 410 6
si2_m4Dr2_m1296.00 0 206 350 408 6
si2_m4Dr2_m1296.06 24 2975 358 417 6
si2_m4Dr2_m1296.08 0 151 371 410 6
si2_m4Dr2_m1296.01 90 575 374 425 6
si2_m4Dr2_m1296.03 1 272 397 407 6
si2_m4Dr2_m1296.04 0 280 394 399 6
si6_m4Dr2_m625.08 0 166 182 193 6
si6_m4Dr2_m625.09 0 150 189 199 6
si6_m4Dr2_m625.05 1 604 185 187 6
si6_m4Dr2_m625.01 1 91 170 188 6
si6_m4Dr2_m625.06 1 158 177 182 6
si6_m4Dr2_m625.00 1 145 183 195 6
si6_m4Dr2_m625.03 1 128 197 202 6
si6_m4Dr2_m625.02 0 224 192 198 6
si6_m4Dr2_m625.07 1 152 130 178 6
si6_m4Dr2_m625.04 1 107 184 134 6
si2_m4D_m1296.01 6 179 402 1093 5
si2_m4D_m1296.08 0 196 321 367 5
si2_m4D_m1296.06 23 338 917 1087 5
si2_m4D_m1296.05 0 243 383 385 5
si2_m4D_m1296.09 9 945 320 326 5
si2_m4D_m1296.03 2 203 530 1028 5
si2_m4D_m1296.07 1 372 325 392 5
si2_m4D_m1296.02 2 281 327 376 5
si2_m4D_m1296.04 4 312 347 333 5
si2_m4D_m1296.00 1 230 318 369 5
si6_m4D_m1296.02 4 591 653 605 5
si6_m4D_m1296.07 7 1442 996 1946 5
si6_m4D_m1296.05 9 1862 655 643 5
si6_m4D_m1296.09 14 3300 1078 853 5
si6_m4D_m1296.00 20866 497291 263308 10585 5
si6_m4D_m1296.08 3 768 666 609 5
si6_m4D_m1296.04 10 1668 697 734 5
si6_m4D_m1296.06 7 1806 1161 1434 5
si6_m4D_m1296.01 6118 613803 74013 1485 5
si6_m4D_m1296.03 249 38952 2884 2101 5
si2_m4Dr6_m256.06 3 16 27 14 6
