instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
all-meshes-CVIU11-pattern1-target1 1000000 1000000 1000000 1000316 13
all-meshes-CVIU11-pattern1-target10 1000000 1000000 1000000 1000346 13
all-meshes-CVIU11-pattern1-target100 1000000 1000000 1000004 1000067 13
all-meshes-CVIU11-pattern1-target102 1000000 1000000 1000002 1001052 13
all-meshes-CVIU11-pattern1-target103 1000000 1000000 1000003 1000012 13
all-meshes-CVIU11-pattern1-target104 1000000 1000000 1000000 1000104 13
all-meshes-CVIU11-pattern1-target106 1000000 1000000 1000000 1000116 13
all-meshes-CVIU11-pattern1-target107 1000001 1000000 1000003 1000767 13
all-meshes-CVIU11-pattern1-target108 1000000 1000000 1000001 1000274 13
all-meshes-CVIU11-pattern1-target109 1000000 1000000 1000000 1000111 13
all-meshes-CVIU11-pattern1-target11 1000000 1000000 1000000 1000028 13
all-meshes-CVIU11-pattern1-target110 1000000 1000000 1000000 1000268 13
all-meshes-CVIU11-pattern1-target111 1000000 1000000 1000001 1000134 13
all-meshes-CVIU11-pattern1-target112 1000000 1000000 1000000 1000011 13
all-meshes-CVIU11-pattern1-target113 1000000 1000000 1000000 1000781 13
all-meshes-CVIU11-pattern1-target114 1000000 1000000 1000000 1000002 13
all-meshes-CVIU11-pattern1-target115 1000000 1000000 1000000 1000024 13
all-meshes-CVIU11-pattern1-target116 1000000 1000000 1000000 1000000 13
all-meshes-CVIU11-pattern1-target117 1000000 1000000 1000000 1000181 13
all-meshes-CVIU11-pattern1-target118 1000000 1000000 1000000 1000160 13
all-meshes-CVIU11-pattern1-target119 1000000 1000000 1000000 1000023 13
all-meshes-CVIU11-pattern1-target12 1000000 1000000 1000000 1000207 13
all-meshes-CVIU11-pattern1-target120 1000000 1000000 1000000 1000407 13
all-meshes-CVIU11-pattern1-target121 1000000 1000000 1000000 1000230 13
all-meshes-CVIU11-pattern1-target122 1000000 1000000 1000000 1000485 13
all-meshes-CVIU11-pattern1-target123 1000000 1000000 1000000 1000469 13
all-meshes-CVIU11-pattern1-target124 1000000 1000000 1000002 1000145 13
all-meshes-CVIU11-pattern1-target125 1000000 1000000 1000000 1000588 13
all-meshes-CVIU11-pattern1-target126 1000000 1000000 1000004 1000011 13
all-meshes-CVIU11-pattern1-target127 1000000 1000000 1000000 1000510 13
all-meshes-CVIU11-pattern1-target128 1000000 1000000 1000000 1000058 13
all-meshes-CVIU11-pattern1-target129 1000001 1000000 1000004 1000623 13
all-meshes-CVIU11-pattern1-target13 1000000 1000000 1000000 1000960 13
all-meshes-CVIU11-pattern1-target130 1000000 1000000 1000001 1001522 13
all-meshes-CVIU11-pattern1-target131 1000000 1000000 1000000 1000159 13
all-meshes-CVIU11-pattern1-target132 1000000 1000001 1000003 1000007 13
all-meshes-CVIU11-pattern1-target133 1000000 1000000 1000001 1001307 13
all-meshes-CVIU11-pattern1-target134 1000000 1000000 1000005 1000009 13
all-meshes-CVIU11-pattern1-target135 1000000 1000000 1000000 1000039 13
all-meshes-CVIU11-pattern1-target136 1000000 1000000 1000003 1001552 13
all-meshes-CVIU11-pattern1-target137 1000000 1000000 1000000 1000344 13
all-meshes-CVIU11-pattern1-target138 1000000 1000000 1000000 1000155 13
all-meshes-CVIU11-pattern1-target139 1000001 1000000 1000005 1000252 13
all-meshes-CVIU11-pattern1-target14 1000000 1000000 1000000 1000051 13
all-meshes-CVIU11-pattern1-target140 1000000 1000000 1000000 1001529 13
all-meshes-CVIU11-pattern1-target141 1000000 1000000 1000000 1001592 13
all-meshes-CVIU11-pattern1-target143 1000000 1000000 1000000 1000163 13
all-meshes-CVIU11-pattern1-target144 1000000 1000000 1000000 1000445 13
all-meshes-CVIU11-pattern1-target145 1000000 1000000 1000000 1000015 13
all-meshes-CVIU11-pattern1-target146 1000000 1000000 1000000 1000032 13
all-meshes-CVIU11-pattern1-target147 1000000 1000000 1000001 1000543 13
all-meshes-CVIU11-pattern1-target148 1000000 1000000 1000001 1001858 13
all-meshes-CVIU11-pattern1-target149 1000000 1000000 1000000 1001254 13
all-meshes-CVIU11-pattern1-target15 1000000 1000000 1000001 1000080 13
all-meshes-CVIU11-pattern1-target150 1000000 1000000 1000003 1000458 13
all-meshes-CVIU11-pattern1-target151 1000000 1000000 1000000 1000053 13
all-meshes-CVIU11-pattern1-target152 1000000 1000000 1000003 1000401 13
all-meshes-CVIU11-pattern1-target153 1000000 1000000 1000000 1000132 13
all-meshes-CVIU11-pattern1-target154 1000000 1000000 1000000 1000070 13
all-meshes-CVIU11-pattern1-target155 1000000 1000000 1000001 1001791 13
all-meshes-CVIU11-pattern1-target156 1000000 1000000 1000002 1000352 13
all-meshes-CVIU11-pattern1-target157 1000000 1000000 1000001 1001467 13
all-meshes-CVIU11-pattern1-target158 1000000 1000000 1000003 1000811 13
all-meshes-CVIU11-pattern1-target159 1000000 1000000 1000000 1000157 13
all-meshes-CVIU11-pattern1-target16 1000000 1000000 1000001 1000033 13
all-meshes-CVIU11-pattern1-target160 1000000 1000000 1000000 1000247 13
all-meshes-CVIU11-pattern1-target161 1000000 1000000 1000001 1000206 13
all-meshes-CVIU11-pattern1-target162 1000000 1000000 1000001 1001475 13
all-meshes-CVIU11-pattern1-target163 1000000 1000000 1000001 1001346 13
all-meshes-CVIU11-pattern1-target164 1000000 1000000 1000001 1001626 13
all-meshes-CVIU11-pattern1-target165 1000000 1000000 1000000 1000113 13
all-meshes-CVIU11-pattern1-target166 1000000 1000000 1000000 1000131 13
all-meshes-CVIU11-pattern1-target167 1000000 1000000 1000001 1001376 13
all-meshes-CVIU11-pattern1-target168 1000000 1000000 1000000 1000493 13
all-meshes-CVIU11-pattern1-target169 1000000 1000000 1000002 1001426 13
all-meshes-CVIU11-pattern1-target17 1000000 1000000 1000000 1000066 13
all-meshes-CVIU11-pattern1-target170 1000000 1000000 1000000 1000061 13
all-meshes-CVIU11-pattern1-target171 1000000 1000000 1000000 1000108 13
all-meshes-CVIU11-pattern1-target172 1000000 1000000 1000000 1000238 13
all-meshes-CVIU11-pattern1-target173 1000000 1000000 1000000 1000162 13
all-meshes-CVIU11-pattern1-target174 1000000 1000000 1000000 1000300 13
all-meshes-CVIU11-pattern1-target175 1000000 1000000 1000000 1000230 13
