instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
PR15-1 1 640 4550 4707 9
PR15-2 7 462 4428 4421 9
PR15-3 1 224 4129 4169 9
PR15-4 0 207 4522 4372 9
PR15-5 1 286 4162 4240 9
PR15-6 0 497 4428 4419 9
PR15-7 0 368 4830 4872 9
PR15-8 0 208 4177 4136 9
PR15-9 1 309 4440 4405 9
PR15-10 0 198 4545 4198 9
PR15-11 0 228 4207 4242 9
PR15-12 0 231 4400 4175 9
PR15-13 0 356 4327 4686 9
PR15-14 0 526 4643 4509 9
PR15-15 0 323 4512 4530 9
PR15-16 0 192 4145 4368 9
PR15-17 0 322 4659 4368 9
PR15-18 3 370 4236 4253 9
PR15-19 0 314 4387 4234 9
PR15-20 0 335 4392 4240 9
PR15-21 0 421 4552 4436 9
PR15-22 0 219 4178 4615 9
PR15-23 2 227 4273 4209 9
PR15-24 3 470 4352 4515 9
