instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
phase-30-150-0.34-0.36-0.42-1 1000000 1000000 1000000 1000031 12
phase-30-150-0.34-0.36-0.42-2 1000000 1000000 1000000 1000041 12
phase-30-150-0.34-0.36-0.42-3 1000000 1000000 1000000 1000038 12
phase-30-150-0.34-0.36-0.42-4 1000000 1000000 1000000 1000037 12
phase-30-150-0.34-0.36-0.42-5 1000000 1000000 1000000 1000038 12
phase-30-150-0.34-0.36-0.42-6 1000000 1000000 1000000 1000024 12
phase-30-150-0.34-0.36-0.42-7 1000000 1000000 1000000 1000040 12
phase-30-150-0.34-0.36-0.42-8 1000000 1000000 1000000 1000038 12
phase-30-150-0.38-0.38-0.44-1 1000000 1000000 1000000 1000035 12
phase-30-150-0.38-0.38-0.44-2 1000000 1000000 1000000 1000034 12
phase-30-150-0.38-0.38-0.44-3 1000000 1000000 1000000 1000036 12
phase-30-150-0.38-0.38-0.44-4 1000000 1000000 1000000 1000037 12
phase-30-150-0.38-0.38-0.44-5 1000000 1000000 1000000 1000006 12
phase-30-150-0.38-0.38-0.44-6 1000000 1000000 1000000 1000035 12
phase-30-150-0.38-0.38-0.44-7 1000000 1000000 1000000 1000016 12
phase-30-150-0.38-0.38-0.44-8 1000000 1000000 1000000 1000040 12
phase-30-150-0.40-0.46-0.48-1 1000000 1000000 1000000 1000028 12
phase-30-150-0.40-0.46-0.48-2 1000000 1000000 1000000 1000031 12
phase-30-150-0.40-0.46-0.48-3 1000000 1000000 1000000 1000030 12
phase-30-150-0.40-0.46-0.48-4 1000000 1000000 1000000 1000032 12
phase-30-150-0.40-0.46-0.48-5 1000000 1000000 1000000 1000028 12
phase-30-150-0.40-0.46-0.48-6 1000000 1000000 1000000 1000029 12
phase-30-150-0.40-0.46-0.48-7 1000000 1000000 1000000 1000032 12
phase-30-150-0.40-0.46-0.48-8 1000000 1000000 1000000 1000031 12
phase-30-150-0.42-0.46-0.50-1 1000000 1000000 1000000 1000029 12
phase-30-150-0.42-0.46-0.50-2 1000000 1000000 1000000 1000030 12
phase-30-150-0.42-0.46-0.50-3 1000000 1000000 1000000 1000026 12
phase-30-150-0.42-0.46-0.50-4 1000000 1000000 1000000 1000026 12
