instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si6_r005_m400.07 7 6335 676 832 7
si6_r005_m400.00 8 5247 992 1022 7
si6_r005_m400.01 5 2518 527 761 7
si6_r005_m400.02 2 1556 378 377 7
si6_r005_m400.04 2 2299 511 566 7
si6_r005_m400.05 1 7791 237 190 7
si6_r005_m400.09 0 985 297 339 7
si6_r005_m400.03 1 3112 317 264 7
si6_r005_m400.06 1 1502 304 323 7
si6_r005_m400.08 7 2157 1142 1387 7
si2_r001_m600.00 1000000 1000000 148 201 7
si2_r001_m600.06 1000000 1000000 213 145 7
si2_r001_m600.04 40 357968 216 211 7
si2_r001_m600.07 1000000 1000000 179 194 7
si2_r001_m600.02 1000000 1000000 140 132 7
si2_r001_m600.08 1000000 1000000 235 196 7
si2_r001_m600.03 1000000 1000000 177 176 7
si2_r001_m600.01 257005 9062 158 105 7
si2_r001_m600.05 323339 212492 191 238 7
si2_r001_m600.09 1000000 1000000 155 96 7
si6_r001_m600.09 1 223 205 203 7
si6_r001_m600.00 59 221196 222 216 7
si6_r001_m600.07 1 8060 200 203 7
si6_r001_m600.03 3 1918 167 216 7
si6_r001_m600.01 3 5599 284 324 7
si6_r001_m600.06 1 846 206 210 7
si6_r001_m600.08 1 15056 315 179 7
si6_r001_m600.02 13 3028 160 201 7
si6_r001_m600.04 75 79702 314 158 7
si6_r001_m600.05 1 508 312 317 7
si6_r001_m200.05 5 672 27 13 7
si6_r001_m200.09 4 418 27 13 7
si6_r001_m200.07 0 17 12 25 7
si6_r001_m200.02 1 180 26 13 7
si6_r001_m200.01 0 206 12 13 7
si6_r001_m200.00 0 41 25 12 7
si6_r001_m200.04 1 1518 13 13 7
si6_r001_m200.06 0 21 12 26 7
si6_r001_m200.08 0 27 12 26 7
si6_r001_m200.03 0 9 13 13 7
si6_r01_m200.04 0 283 37 106 7
si6_r01_m200.08 2 177 178 177 7
si6_r01_m200.02 4 701 354 422 7
si6_r01_m200.09 0 1397 87 260 7
si6_r01_m200.07 1 297 113 120 7
si6_r01_m200.00 3 339 435 553 7
si6_r01_m200.01 0 3432 101 125 7
si6_r01_m200.03 12 708 1005 1070 7
si6_r01_m200.05 2 1177 220 208 7
si6_r01_m200.06 1 1187 150 229 7
si2_r001_m200.06 3 420 36 12 7
si2_r001_m200.01 156 985 17 9 7
si2_r001_m200.02 80 1440 9 10 7
si2_r001_m200.07 0 23 7 15 7
si2_r001_m200.04 0 82 16 8 7
si2_r001_m200.05 103104 38621 16 45 7
si2_r001_m200.09 28766 242803 262 173 7
si2_r001_m200.03 778 1327 15 7 7
si2_r001_m200.00 0 13 16 15 7
si2_r001_m200.08 4767 290690 17 8 7
si4_r005_m200.00 5 346 90 123 7
si4_r005_m200.08 0 234 26 24 7
si4_r005_m200.02 11 199 83 89 7
si4_r005_m200.05 0 141 28 44 7
si4_r005_m200.06 0 74 56 33 7
si4_r005_m200.04 1 718 83 29 7
si4_r005_m200.07 1 268 87 43 7
si4_r005_m200.09 2 260 89 60 7
si4_r005_m200.01 0 283 44 30 7
si4_r005_m200.03 3 266 116 74 7
si6_r01_m600.02 68 210642 11023 8755 7
si6_r01_m600.06 2 183728 507 1045 7
si6_r01_m600.09 178 81793 31097 31422 7
si6_r01_m600.08 1386 275775 273712 298286 7
si6_r01_m600.05 5 180334 787 1383 7
si6_r01_m600.07 163 329945 25205 40391 7
si6_r01_m600.03 93 159029 13761 9631 7
si6_r01_m600.00 50 46624 7209 8278 7
si6_r01_m600.01 12 887762 2261 2343 7
si6_r01_m600.04 250 587453 91393 90392 7
si4_r005_m600.00 45 28497 5087 5224 7
si4_r005_m600.02 52 8071 3733 3247 7
si4_r005_m600.08 304 31013 30315 35408 7
si4_r005_m600.05 144 17541 10632 10966 7
si4_r005_m600.07 71 13614 6556 1219 7
si4_r005_m600.06 105 86480 11551 22077 7
si4_r005_m600.01 21 25437 2096 1079 7
si4_r005_m600.04 153 22886 14488 13835 7
si4_r005_m600.03 17 9728 2164 2918 7
si4_r005_m600.09 4 8445 728 839 7
si2_r005_m200.02 0 126 18 17 7
si2_r005_m200.01 2141 17947 6802 4617 7
si2_r005_m200.03 14 389 173 151 7
si2_r005_m200.05 221 3632 3091 4458 7
si2_r005_m200.08 104 2076 473 296 7
si2_r005_m200.04 52 122 563 359 7
si2_r005_m200.09 40 1104 54 157 7
si2_r005_m200.06 8 429 122 123 7
si2_r005_m200.00 44 1383 969 1226 7
si2_r005_m200.07 28 298 115 115 7
si2_r01_m600.01 1942 413985 75597 76927 7
si2_r01_m600.06 6907 325530 267214 165334 7
si2_r01_m600.09 15020 1000000 705836 496673 7
si2_r01_m600.08 29576 914601 1000000 887806 7
si2_r01_m600.04 6347 513310 253473 285163 7
si2_r01_m600.02 8637 927560 297947 96186 7
si2_r01_m600.00 4002 1000000 158650 110741 7
si2_r01_m600.07 2595 751710 91681 58400 7
si2_r01_m600.03 3896 826616 169976 199274 7
si2_r01_m600.05 5107 521424 207565 181242 7
si4_r001_m200.04 4 244 10 10 7
si4_r001_m200.07 1 563 21 10 7
si4_r001_m200.00 26 5 21 13 7
si4_r001_m200.01 0 81 20 10 7
si4_r001_m200.03 79 3587 21 10 7
si4_r001_m200.06 0 5 21 10 7
si4_r001_m200.05 7 191 21 10 7
si4_r001_m200.08 0 7 22 11 7
si4_r001_m200.09 84 13101 15 11 7
si4_r001_m200.02 6 263 11 11 7
si6_r01_m400.04 13 28752 1894 1492 7
si6_r01_m400.08 19 25507 2839 6664 7
si6_r01_m400.07 1 20341 178 209 7
si6_r01_m400.06 18 17014 2830 3491 7
si6_r01_m400.05 4 50531 533 4073 7
si6_r01_m400.02 2 38903 474 529 7
si6_r01_m400.00 11 61719 1652 1454 7
si6_r01_m400.03 56 5437 8755 8383 7
si6_r01_m400.01 57 16572 6570 4505 7
si6_r01_m400.09 128 31122 17294 14835 7
si4_r01_m400.01 59 16251 4401 4785 7
si4_r01_m400.08 2 68900 298 333 7
si4_r01_m400.02 55 196768 3457 2173 7
si4_r01_m400.03 144 69537 8453 3461 7
si4_r01_m400.07 38 161667 2526 251 7
si4_r01_m400.06 8 18955 528 449 7
si4_r01_m400.04 903 179090 73206 94465 7
si4_r01_m400.00 564 206473 47370 46223 7
si4_r01_m400.05 69 19787 8210 6467 7
si4_r01_m400.09 688 41545 44487 48441 7
si2_r005_m600.03 314 15268 11687 5409 7
