instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
F.04 0 183 98 105 1
C.18 7 10065 604 580 1
A.04 0 12 17 18 1
C.02 12 11428 514 569 1
E.01 1000000 1000000 1000000 1000001 1
F.20 1 100 99 116 1
B.20 5 6927 229 220 1
C.08 1920 1000001 562 771 1
B.11 2 362 282 280 1
C.10 223 808818 625 618 1
B.06 2 738 170 177 1
F.08 1 189 103 120 1
B.07 3 1389 352 343 1
E.04 1000000 1000000 1000000 1000001 1
C.01 57 171951 544 580 1
B.10 1 469 167 173 1
A.15 0 34 28 18 1
C.19 40 1000001 724 520 1
B.02 6 3401 344 175 1
E.06 1000000 1000000 1000000 1000001 1
E.18 1000000 1000000 1000000 1000002 1
C.20 12 110532 823 584 1
F.02 1 314 98 99 1
F.11 1 81 98 100 1
F.12 1 150 102 104 1
E.05 1000000 1000000 1000000 1000000 1
B.16 2 164 170 186 1
A.08 0 61 17 17 1
C.14 5 1194 513 534 1
F.16 1 186 135 99 1
F.06 1 253 113 182 1
A.03 0 141 17 17 1
E.19 1000000 1000000 1000000 1000000 1
C.15 166 1000001 509 559 1
A.16 0 58 37 23 1
B.14 109 193372 217 223 1
A.02 0 32 17 36 1
F.14 1 141 180 99 1
F.05 1 223 180 182 1
B.09 2 816 345 364 1
A.01 0 75 36 36 1
C.05 7 30853 763 767 1
B.01 21 67641 170 240 1
A.09 0 27 17 36 1
A.07 0 45 35 35 1
F.03 1 131 176 181 1
E.12 1000000 1000000 1000000 1000001 1
C.06 10 13997 550 560 1
C.09 6 2586 574 759 1
B.17 11 7178 174 241 1
C.07 7 199910 511 692 1
E.09 1000000 1000000 1000000 1000000 1
E.17 1000000 1000000 1000000 1000000 1
C.11 875 1000001 616 528 1
F.10 1000000 1000000 1000000 1000001 1
A.17 0 16 35 17 1
B.15 3 777 170 359 1
E.03 1000000 1000000 1000000 1000002 1
F.19 1 140 98 180 1
A.12 0 38 36 34 1
B.08 18 12124 354 175 1
F.17 1 549 179 99 1
C.04 47732 1000002 722 771 1
B.19 7 2677 214 222 1
C.16 369 1000001 539 622 1
C.17 270 1000001 619 528 1
E.08 1000000 1000000 1000000 1000001 1
F.13 1 266 101 167 1
A.20 0 37 18 19 1
E.02 1000000 1000000 1000000 1000001 1
E.16 1000000 1000000 1000000 1000002 1
B.12 59 177839 170 221 1
F.09 1 297 180 182 1
A.10 0 155 35 36 1
F.18 1 184 181 100 1
E.10 1 443 147 97 1
A.06 0 52 17 18 1
E.15 1000000 1000000 1000000 1000000 1
E.07 1000000 1000000 1000000 1000001 1
E.11 1000000 1000000 1000000 1000001 1
B.03 2 1643 172 240 1
B.18 2 228 237 246 1
C.03 11 24557 576 579 1
A.18 0 71 17 35 1
F.15 0 149 155 151 1
A.19 0 99 17 18 1
C.12 228 1000001 563 770 1
B.05 10 11903 169 219 1
A.13 0 83 17 17 1
A.05 0 40 17 33 1
F.01 0 167 145 146 1
E.20 1000000 1000000 1000000 1000001 1
B.13 8 4582 344 299 1
A.14 1 200 36 37 1
B.04 9 3645 346 352 1
C.13 6 7685 738 754 1
F.07 1 325 97 179 1
E.13 1000000 1000000 1000000 1000001 1
E.14 1000000 1000000 1000000 1000001 1
A.11 0 27 35 36 1
