instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
F.04 270 270 270 270
B.06 540 540 540 540
E.18 X X X X
F.06 270 270 270 270
A.01 180 180 180 180
C.07 900 900 900 900
B.08 540 540 540 540
E.16 X X X X
B.03 540 540 540 540
F.01 270 270 270 270
si6_r005_m400.07 240 240 240 240
si6_m4Dr6_m625.04 375 375 375 375
si4_m4Dr2_m625.09 250 250 250 250
si2_r001_m600.00 X X 120 120
si2_m4Dr2_m256.09 51 51 51 51
si6_r001_m600.09 360 360 360 360
si2_m4Dr2_m1296.05 259 259 259 259
si4_b06m_m800.08 320 320 320 320
si6_m4Dr2_m625.08 375 375 375 375
si2_m4D_m1296.01 259 259 259 259
si4_b03_m800.05 320 320 320 320
si6_m4D_m1296.02 777 777 777 777
si6_r001_m200.05 120 120 120 120
si4_b06_m400.06 160 160 160 160
si2_m4Dr6_m256.06 51 51 51 51
si6_r01_m200.04 120 120 120 120
si2_b03m_m800.03 160 160 160 160
si2_r001_m200.06 40 40 40 40
si6_b03m_m800.01 480 480 480 480
si4_r005_m200.00 80 80 80 80
si6_b09m_m400.03 240 240 240 240
si2_b09_m200.08 40 40 40 40
si6_r01_m600.02 360 360 360 360
si2_b06_m200.02 40 40 40 40
si6_m4Dr2_m1296.05 777 777 777 777
si2_b09m_m800.09 160 160 160 160
si4_b03_m400.01 160 160 160 160
si2_b03_m200.05 40 40 40 40
si4_r005_m600.00 240 240 240 240
si4_b09_m400.05 160 160 160 160
si4_b06m_m400.06 160 160 160 160
si2_m4Dr2_m625.05 125 125 125 125
si2_r005_m200.02 40 40 40 40
si4_b03m_m400.03 160 160 160 160
si2_r01_m600.01 120 120 120 120
si4_m4Dr6_m256.01 102 102 102 102
si2_b03m_m400.02 80 80 80 80
si2_b03m_m200.05 40 40 40 40
si4_r001_m200.04 80 80 80 80
si2_m4D_m256.08 51 51 51 51
si6_r01_m400.04 240 240 240 240
si2_m4Dr4_m625.07 125 125 125 125
si4_r01_m400.01 160 160 160 160
si2_b09m_m400.09 80 80 80 80
si2_b09_m800.07 160 160 160 160
si6_b03_m400.04 240 240 240 240
si2_r005_m600.03 120 120 120 120
si4_r01_m600.05 240 240 240 240
si2_b09_m400.04 80 80 80 80
si4_b06_m200.06 80 80 80 80
si4_r005_m400.06 160 160 160 160
si4_m4Dr2_m1296.07 518 518 518 518
si6_b09_m800.03 480 480 480 480
si6_b06m_m400.00 240 240 240 240
si2_m4Dr4_m1296.08 259 259 259 259
si6_m4Dr6_m1296.02 777 777 777 777
si4_m4Dr2_m256.00 102 102 102 102
si4_b09m_m200.01 80 80 80 80
si4_m4Dr4_m625.07 250 250 250 250
si4_m4Dr4_m1296.03 518 518 518 518
si2_r005_m400.05 80 80 80 80
si2_b06m_m400.03 80 80 80 80
si6_r005_m600.02 360 360 360 360
si6_r005_m200.02 120 120 120 120
si2_m4Dr6_m625.06 125 125 125 125
si6_b03_m800.02 480 480 480 480
si4_m4D_m1296.09 518 518 518 518
si6_b03m_m400.03 240 240 240 240
si4_m4D_m256.07 102 102 102 102
si6_b06m_m800.07 480 480 480 480
si4_r001_m400.08 160 160 160 160
si2_m4Dr6_m1296.00 259 259 259 259
si2_b03_m800.07 160 160 160 160
si4_b03m_m200.05 80 80 80 80
si2_b06m_m200.04 40 40 40 40
si6_m4Dr4_m625.05 375 375 375 375
si4_b03_m200.06 80 80 80 80
si2_b03_m400.03 80 80 80 80
si4_b09_m200.02 80 80 80 80
si4_m4Dr4_m256.05 102 102 102 102
si2_m4D_m625.01 125 125 125 125
si4_b09_m800.03 320 320 320 320
si2_m4Dr4_m256.05 51 51 51 51
si6_m4Dr2_m256.04 153 153 153 153
si6_b06_m800.00 480 480 480 480
si4_b09m_m800.06 320 320 320 320
si2_b06_m800.04 160 160 160 160
si6_m4D_m256.03 153 153 153 153
si2_b06m_m800.07 160 160 160 160
si4_b06m_m200.00 80 80 80 80
si6_r001_m400.09 240 240 240 240
si6_m4D_m625.00 375 375 375 375
si6_b09m_m800.02 480 480 480 480
si4_m4Dr6_m1296.01 518 518 518 518
si2_b06_m400.09 80 80 80 80
si4_r01_m200.01 80 80 80 80
si2_r001_m400.06 X X 80 80
si4_b03m_m800.03 320 320 320 320
si2_r01_m200.03 40 40 40 40
si2_r01_m400.04 80 80 80 80
si4_m4D_m625.09 250 250 250 250
si6_m4Dr6_m256.05 153 153 153 153
si6_b09_m400.07 240 240 240 240
si6_b06_m400.03 240 240 240 240
si6_b03m_m200.04 120 120 120 120
si4_b06_m800.04 320 320 320 320
si6_b09m_m200.07 120 120 120 120
si4_b09m_m400.07 160 160 160 160
si6_m4Dr4_m1296.03 777 777 777 777
si6_b06_m200.09 120 120 120 120
si4_m4Dr6_m625.02 250 250 250 250
si6_b06m_m200.09 120 120 120 120
si6_m4Dr4_m256.05 153 153 153 153
si4_r001_m600.01 240 240 240 240
si2_b09m_m200.08 40 40 40 40
si6_b03_m200.01 120 120 120 120
si6_b09_m200.09 120 120 120 120
g10-g11 X X X X
g10-g25 X X X X
g10-g38 X X X X
g10-g49 X X X X
g11-g23 X X X X
g11-g37 X X X X
g11-g48 X X X X
g12-g31 X X X X
g12-g50 X X X X
g13-g31 X X X X
g13-g49 X X X X
g14-g30 X X X X
g14-g48 X X X X
g15-g30 X X X X
g15-g48 X X X X
g16-g28 X X X X
g16-g44 X X X X
g17-g21 4 4 4 4
g17-g31 X X X X
g17-g41 X X X X
g18-g19 X X X X
g18-g29 X X X X
g18-g39 X X X X
g18-g49 X X X X
g19-g29 X X X X
g19-g42 X X X X
g2-g11 10 10 10 10
g2-g21 4 4 4 4
g2-g30 10 10 10 10
g2-g4 2 2 2 2
g2-g49 10 10 10 10
g20-g27 X X X X
g20-g48 X X X X
g22-g28 X X X X
g22-g44 X X X X
g23-g50 X X X X
g24-g35 X X X X
g24-g45 X X X X
g25-g31 X X X X
g25-g49 X X X X
g28-g31 X X X X
g28-g47 X X X X
g29-g50 X X X X
g3-g19 7 7 7 7
g3-g29 10 10 10 10
g3-g39 7 7 7 7
g3-g48 10 10 10 10
g30-g40 X X X X
g33-g43 X X X X
g34-g37 X X X X
g34-g47 X X X X
g35-g44 X X X X
g36-g41 X X X X
g37-g38 X X X X
g38-g40 X X X X
g39-g45 X X X X
g4-g14 8 8 8 8
g4-g28 2 2 2 2
g4-g42 8 8 8 8
g4-g6 3 3 3 3
g41-g48 X X X X
g42-g50 X X X X
g47-g48 X X X X
g5-g20 10 10 10 10
g5-g31 11 11 11 11
g5-g45 11 11 11 11
g6-g13 17 17 17 17
g6-g27 17 17 17 17
g6-g41 17 17 17 17
g6-g7 10 10 10 10
g7-g23 11 11 11 11
g7-g37 10 10 10 10
g7-g48 11 11 11 11
g8-g19 X X X X
g8-g30 X X X X
g8-g42 24 24 24 24
g9-g10 X X X X
g9-g23 37 37 37 37
g9-g37 X X X X
g9-g48 X X X X
PR15-8 6 6 6 6
PR15-18 15 15 15 15
g10-g103 X X X X
g10-g51 X X X X
g10-g64 X X X X
g10-g76 X X X X
g10-g88 X X X X
g10-g99 X X X X
g11-g109 X X X X
g11-g57 X X X X
g11-g71 X X X X
g11-g83 X X X X
g11-g95 X X X X
g12-g105 X X X X
g12-g53 X 32 X X
g12-g67 X 33 33 33
g12-g78 X X X X
g12-g90 33 X X X
g13-g101 X X X X
g13-g111 X X X X
g13-g62 X X X X
g13-g74 X X X X
g13-g85 X X X X
g13-g97 41 41 41 41
g14-g107 X X X X
g14-g55 X X X X
g14-g69 44 44 44 44
g14-g80 42 X 42 42
g14-g92 44 44 44 44
g15-g103 X X X X
g15-g51 X X X X
g15-g64 X X X X
g15-g76 X X X X
g15-g88 X X X X
g15-g99 41 41 41 41
g16-g109 X X X X
g16-g57 X X X X
g16-g71 X X X X
g16-g83 X X X X
g16-g95 X X X X
g17-g105 X X X X
g17-g53 X X X X
g17-g67 X X X X
g17-g78 64 64 64 64
g17-g90 64 64 64 64
g18-g101 X X X X
g18-g111 X X X X
g18-g62 X X X X
g18-g74 X X X X
g18-g85 X X X X
g18-g97 X X X X
g19-g107 X X X X
g19-g55 X X X X
g19-g69 X X X X
g19-g80 X X X X
