instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si4_b06m_m800.08 0 149 215 218 0.185185
si4_b06m_m800.00 0 166 223 169 0.185185
si4_b06m_m800.06 0 97 162 165 0.185185
si4_b06m_m800.05 0 142 224 214 0.185185
si4_b06m_m800.04 0 171 163 211 0.185185
si4_b06m_m800.09 0 170 164 212 0.185185
si4_b06m_m800.01 0 172 219 217 0.185185
si4_b06m_m800.07 0 95 255 216 0.185185
si4_b06m_m800.03 0 99 220 253 0.185185
si4_b06m_m800.02 0 148 168 171 0.185185
si4_b03_m800.05 0 89 177 196 0.185185
si4_b03_m800.00 0 91 176 194 0.185185
si4_b03_m800.08 0 91 177 196 0.185185
si4_b03_m800.09 0 41 177 309 0.185185
si4_b03_m800.03 0 42 239 272 0.185185
si4_b03_m800.02 0 42 255 194 0.185185
si4_b03_m800.04 0 41 233 264 0.185185
si4_b03_m800.01 0 91 176 251 0.185185
si4_b03_m800.06 0 91 176 196 0.185185
si4_b03_m800.07 0 91 176 224 0.185185
si4_b06_m400.06 0 10 43 45 0.185185
si4_b06_m400.07 0 21 46 77 0.185185
si4_b06_m400.09 0 21 44 92 0.185185
si4_b06_m400.01 0 21 44 92 0.185185
si4_b06_m400.04 0 21 44 92 0.185185
si4_b06_m400.03 0 21 43 93 0.185185
si4_b06_m400.00 0 21 43 93 0.185185
si4_b06_m400.05 0 21 44 92 0.185185
si4_b06_m400.08 0 21 43 93 0.185185
si4_b06_m400.02 0 21 44 93 0.185185
si2_b03m_m800.03 0 105 107 108 0.185185
si2_b03m_m800.02 0 108 105 228 0.185185
si2_b03m_m800.09 0 52 110 111 0.185185
si2_b03m_m800.04 0 77 109 145 0.185185
si2_b03m_m800.06 0 104 109 133 0.185185
si2_b03m_m800.05 0 104 108 162 0.185185
si2_b03m_m800.01 0 51 108 162 0.185185
si2_b03m_m800.08 0 52 108 109 0.185185
si2_b03m_m800.07 1000000 106 107 109 0.185185
si2_b03m_m800.00 0 100 105 109 0.185185
si6_b03m_m800.01 0 251 261 256 0.185185
si6_b03m_m800.08 0 200 200 248 0.185185
si6_b03m_m800.03 32 148 197 248 0.185185
si6_b03m_m800.00 0 308 196 249 0.185185
si6_b03m_m800.04 0 153 195 263 0.185185
si6_b03m_m800.05 0 206 276 270 0.185185
si6_b03m_m800.07 1 212 272 250 0.185185
si6_b03m_m800.06 0 157 200 263 0.185185
si6_b03m_m800.09 0 207 269 268 0.185185
si6_b03m_m800.02 0 216 252 248 0.185185
si6_b09m_m400.03 0 72 57 73 0.185185
si6_b09m_m400.07 0 33 104 61 0.185185
si6_b09m_m400.00 0 38 105 118 0.185185
si6_b09m_m400.04 0 33 58 60 0.185185
si6_b09m_m400.06 0 71 57 60 0.185185
si6_b09m_m400.08 0 72 57 58 0.185185
si6_b09m_m400.02 0 69 58 59 0.185185
si6_b09m_m400.05 0 71 57 60 0.185185
si6_b09m_m400.09 0 74 57 61 0.185185
si6_b09m_m400.01 0 70 57 60 0.185185
si2_b09_m200.08 0 3 18 9 0.185185
si2_b09_m200.01 0 3 8 18 0.185185
si2_b09_m200.06 0 3 8 18 0.185185
si2_b09_m200.05 0 1 17 8 0.185185
si2_b09_m200.00 0 3 8 17 0.185185
si2_b09_m200.02 0 3 17 8 0.185185
si2_b09_m200.03 0 3 8 18 0.185185
si2_b09_m200.04 0 3 17 8 0.185185
si2_b09_m200.09 0 3 11 18 0.185185
si2_b09_m200.07 0 1 8 18 0.185185
si2_b06_m200.02 0 3 16 16 0.185185
si2_b06_m200.00 0 3 16 16 0.185185
si2_b06_m200.01 0 3 16 16 0.185185
si2_b06_m200.06 0 3 16 16 0.185185
si2_b06_m200.09 0 3 16 16 0.185185
si2_b06_m200.07 0 3 16 16 0.185185
si2_b06_m200.04 0 3 16 16 0.185185
si2_b06_m200.08 0 3 16 16 0.185185
si2_b06_m200.03 0 3 16 16 0.185185
si2_b06_m200.05 0 3 15 16 0.185185
si2_b09m_m800.09 0 174 164 273 0.185185
si2_b09m_m800.07 18628 102 256 288 0.185185
si2_b09m_m800.00 0 101 161 275 0.185185
si2_b09m_m800.04 0 103 259 286 0.185185
si2_b09m_m800.02 0 73 280 282 0.185185
si2_b09m_m800.05 0 60 282 148 0.185185
si2_b09m_m800.03 0 103 199 288 0.185185
si2_b09m_m800.08 0 99 135 182 0.185185
si2_b09m_m800.06 0 109 194 283 0.185185
si2_b09m_m800.01 0 100 201 277 0.185185
si4_b03_m400.01 0 21 88 89 0.185185
si4_b03_m400.02 0 21 88 59 0.185185
si4_b03_m400.05 0 21 88 88 0.185185
si4_b03_m400.07 0 21 78 89 0.185185
si4_b03_m400.06 0 21 89 89 0.185185
si4_b03_m400.00 0 21 87 89 0.185185
si4_b03_m400.03 0 21 88 66 0.185185
si4_b03_m400.04 0 21 89 89 0.185185
si4_b03_m400.09 0 21 87 89 0.185185
si4_b03_m400.08 0 10 87 89 0.185185
si2_b03_m200.05 0 3 14 14 0.185185
si2_b03_m200.09 0 3 14 15 0.185185
si2_b03_m200.07 0 3 14 15 0.185185
si2_b03_m200.01 0 3 14 15 0.185185
si2_b03_m200.08 0 3 15 15 0.185185
si2_b03_m200.02 0 3 14 15 0.185185
si2_b03_m200.04 0 3 14 15 0.185185
si2_b03_m200.03 0 3 14 15 0.185185
si2_b03_m200.06 0 3 14 14 0.185185
si2_b03_m200.00 0 3 14 14 0.185185
si4_b09_m400.05 0 21 46 97 0.185185
si4_b09_m400.03 0 10 96 49 0.185185
si4_b09_m400.00 0 21 46 79 0.185185
si4_b09_m400.07 0 22 46 99 0.185185
si4_b09_m400.01 0 17 46 97 0.185185
si4_b09_m400.06 0 21 46 98 0.185185
si4_b09_m400.04 0 10 96 48 0.185185
si4_b09_m400.02 0 21 46 62 0.185185
si4_b09_m400.08 0 22 45 79 0.185185
si4_b09_m400.09 0 21 46 96 0.185185
si4_b06m_m400.06 0 46 41 42 0.185185
si4_b06m_m400.03 0 23 80 42 0.185185
si4_b06m_m400.01 0 47 40 42 0.185185
si4_b06m_m400.08 0 47 40 42 0.185185
si4_b06m_m400.05 0 48 41 43 0.185185
si4_b06m_m400.07 0 45 41 42 0.185185
si4_b06m_m400.00 0 47 41 42 0.185185
si4_b06m_m400.04 0 45 41 84 0.185185
si4_b06m_m400.09 0 23 83 43 0.185185
si4_b06m_m400.02 0 47 40 83 0.185185
si4_b03m_m400.03 0 48 70 72 0.185185
si4_b03m_m400.09 0 49 37 74 0.185185
si4_b03m_m400.08 0 53 72 74 0.185185
si4_b03m_m400.04 0 51 72 75 0.185185
si4_b03m_m400.00 0 48 73 74 0.185185
si4_b03m_m400.01 0 51 73 75 0.185185
si4_b03m_m400.07 0 48 35 73 0.185185
si4_b03m_m400.02 0 50 74 75 0.185185
si4_b03m_m400.06 0 48 75 77 0.185185
si4_b03m_m400.05 0 47 71 72 0.185185
si2_b03m_m400.02 1 12 54 26 0.185185
si2_b03m_m400.00 0 12 27 26 0.185185
si2_b03m_m400.01 0 24 26 55 0.185185
si2_b03m_m400.05 0 52 26 26 0.185185
si2_b03m_m400.08 0 25 26 54 0.185185
si2_b03m_m400.07 0 25 52 26 0.185185
si2_b03m_m400.09 0 24 25 54 0.185185
si2_b03m_m400.03 0 24 27 26 0.185185
si2_b03m_m400.04 0 24 26 55 0.185185
si2_b03m_m400.06 0 24 26 26 0.185185
si2_b03m_m200.05 0 6 6 13 0.185185
si2_b03m_m200.03 0 6 13 13 0.185185
si2_b03m_m200.00 0 6 7 14 0.185185
si2_b03m_m200.08 0 6 13 6 0.185185
si2_b03m_m200.06 0 6 6 13 0.185185
si2_b03m_m200.02 0 6 13 6 0.185185
si2_b03m_m200.09 0 6 14 14 0.185185
si2_b03m_m200.04 0 6 13 13 0.185185
si2_b03m_m200.01 0 6 6 13 0.185185
si2_b03m_m200.07 0 6 6 6 0.185185
si2_b09m_m400.09 0 24 34 69 0.185185
si2_b09m_m400.03 0 23 35 70 0.185185
si2_b09m_m400.01 0 12 68 34 0.185185
si2_b09m_m400.08 0 26 34 65 0.185185
si2_b09m_m400.05 0 26 35 65 0.185185
si2_b09m_m400.06 0 25 34 69 0.185185
si2_b09m_m400.00 0 25 34 35 0.185185
si2_b09m_m400.02 0 24 35 64 0.185185
si2_b09m_m400.04 0 24 34 69 0.185185
si2_b09m_m400.07 0 24 35 35 0.185185
si2_b09_m800.07 0 48 130 132 0.185185
si2_b09_m800.04 0 23 189 192 0.185185
si2_b09_m800.05 0 48 129 131 0.185185
si2_b09_m800.00 0 48 167 182 0.185185
si2_b09_m800.02 0 48 128 131 0.185185
si2_b09_m800.01 0 22 158 194 0.185185
si2_b09_m800.08 0 23 181 130 0.185185
si2_b09_m800.09 0 48 129 130 0.185185
si2_b09_m800.03 0 48 132 131 0.185185
si2_b09_m800.06 0 48 128 130 0.185185
si6_b03_m400.04 0 32 56 58 0.185185
si6_b03_m400.09 0 33 55 58 0.185185
si6_b03_m400.02 0 32 56 59 0.185185
si6_b03_m400.06 0 33 55 106 0.185185
si6_b03_m400.05 0 36 56 58 0.185185
si6_b03_m400.08 0 14 118 107 0.185185
si6_b03_m400.01 0 33 98 111 0.185185
si6_b03_m400.07 0 33 55 58 0.185185
si6_b03_m400.03 0 33 55 58 0.185185
si6_b03_m400.00 0 33 55 58 0.185185
si2_b09_m400.04 0 11 66 32 0.185185
si2_b09_m400.08 0 5 32 67 0.185185
si2_b09_m400.05 0 11 32 68 0.185185
si2_b09_m400.01 0 11 67 32 0.185185
si2_b09_m400.03 0 11 66 66 0.185185
si2_b09_m400.02 0 11 64 67 0.185185
si2_b09_m400.07 0 11 67 66 0.185185
si2_b09_m400.09 0 11 66 67 0.185185
si2_b09_m400.06 0 5 66 32 0.185185
si2_b09_m400.00 0 11 67 67 0.185185
si4_b06_m200.06 0 5 23 23 0.185185
si4_b06_m200.03 0 5 23 23 0.185185
si4_b06_m200.02 0 5 23 11 0.185185
