instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
F.04 0 183 98 105
C.18 7 10065 604 580
A.04 0 12 17 18
C.02 12 11428 514 569
E.01 1000000 1000000 1000000 1000001
F.20 1 100 99 116
B.20 5 6927 229 220
C.08 1920 1000001 562 771
B.11 2 362 282 280
C.10 223 808818 625 618
B.06 2 738 170 177
F.08 1 189 103 120
B.07 3 1389 352 343
E.04 1000000 1000000 1000000 1000001
C.01 57 171951 544 580
B.10 1 469 167 173
A.15 0 34 28 18
C.19 40 1000001 724 520
B.02 6 3401 344 175
E.06 1000000 1000000 1000000 1000001
E.18 1000000 1000000 1000000 1000002
C.20 12 110532 823 584
F.02 1 314 98 99
F.11 1 81 98 100
F.12 1 150 102 104
E.05 1000000 1000000 1000000 1000000
B.16 2 164 170 186
A.08 0 61 17 17
C.14 5 1194 513 534
F.16 1 186 135 99
F.06 1 253 113 182
A.03 0 141 17 17
E.19 1000000 1000000 1000000 1000000
C.15 166 1000001 509 559
A.16 0 58 37 23
B.14 109 193372 217 223
A.02 0 32 17 36
F.14 1 141 180 99
F.05 1 223 180 182
B.09 2 816 345 364
A.01 0 75 36 36
C.05 7 30853 763 767
B.01 21 67641 170 240
A.09 0 27 17 36
A.07 0 45 35 35
F.03 1 131 176 181
E.12 1000000 1000000 1000000 1000001
C.06 10 13997 550 560
C.09 6 2586 574 759
B.17 11 7178 174 241
C.07 7 199910 511 692
E.09 1000000 1000000 1000000 1000000
E.17 1000000 1000000 1000000 1000000
C.11 875 1000001 616 528
F.10 1000000 1000000 1000000 1000001
A.17 0 16 35 17
B.15 3 777 170 359
E.03 1000000 1000000 1000000 1000002
F.19 1 140 98 180
A.12 0 38 36 34
B.08 18 12124 354 175
F.17 1 549 179 99
C.04 47732 1000002 722 771
B.19 7 2677 214 222
C.16 369 1000001 539 622
C.17 270 1000001 619 528
E.08 1000000 1000000 1000000 1000001
F.13 1 266 101 167
A.20 0 37 18 19
E.02 1000000 1000000 1000000 1000001
E.16 1000000 1000000 1000000 1000002
B.12 59 177839 170 221
F.09 1 297 180 182
A.10 0 155 35 36
F.18 1 184 181 100
E.10 1 443 147 97
A.06 0 52 17 18
E.15 1000000 1000000 1000000 1000000
E.07 1000000 1000000 1000000 1000001
E.11 1000000 1000000 1000000 1000001
B.03 2 1643 172 240
B.18 2 228 237 246
C.03 11 24557 576 579
A.18 0 71 17 35
F.15 0 149 155 151
A.19 0 99 17 18
C.12 228 1000001 563 770
B.05 10 11903 169 219
A.13 0 83 17 17
A.05 0 40 17 33
F.01 0 167 145 146
E.20 1000000 1000000 1000000 1000001
B.13 8 4582 344 299
A.14 1 200 36 37
B.04 9 3645 346 352
C.13 6 7685 738 754
F.07 1 325 97 179
E.13 1000000 1000000 1000000 1000001
E.14 1000000 1000000 1000000 1000001
A.11 0 27 35 36
si6_r005_m400.07 7 6335 676 832
si6_r005_m400.00 8 5247 992 1022
si6_r005_m400.01 5 2518 527 761
si6_r005_m400.02 2 1556 378 377
si6_r005_m400.04 2 2299 511 566
si6_r005_m400.05 1 7791 237 190
si6_r005_m400.09 0 985 297 339
si6_r005_m400.03 1 3112 317 264
si6_r005_m400.06 1 1502 304 323
si6_r005_m400.08 7 2157 1142 1387
si6_m4Dr6_m625.04 1 181 276 288
si6_m4Dr6_m625.01 1 156 187 136
si6_m4Dr6_m625.09 1 138 269 286
si6_m4Dr6_m625.07 1 181 135 235
si6_m4Dr6_m625.00 0 186 193 289
si6_m4Dr6_m625.08 1 114 185 193
si6_m4Dr6_m625.05 1 145 149 138
si6_m4Dr6_m625.06 1 178 275 146
si6_m4Dr6_m625.02 1 92 139 285
si6_m4Dr6_m625.03 0 142 141 139
si4_m4Dr2_m625.09 0 120 105 109
si4_m4Dr2_m625.04 2 314 229 152
