GroupBy(labels) GroupBy(p) GroupBy(nt) mean(mcsplit-si-ll) mean(mcsplit-si-dom) mean(mcsplit-si-dom-D1) mean(msplit-si-dom-D2) mean(mcsplit-si-adjmat) mean(mcsplit-si-adjmat-dom) mean(glasgow) mean(glasgow-nosupp) mean(ri) mean(ri-ds) mean(vf3)
1 0.05 1000 41.8 23.8 923.4 23.4 62.1 59.2 949.8 445.7 619.3 546.2 459.8
1 0.05 1250 104.6 46.2 1109.8 51.2 126 137.9 2127.7 2268 1029.7 899.2 1151.6
1 0.05 1500 296.5 160.9 2535.5 162 386 392.7 5982.4 5096.3 1844.8 1631.7 3472
1 0.05 2000 205 112 10856.8 103.8 289.9 285.9 41199.6 44532.5 1195.9 1276.4 2894.2
1 0.05 2500 1074.9 582.4 5613.5 566.7 1222.5 1213.9 25423.6 14276.8 9108.4 7595.5 16474.3
1 0.05 3000 594.4 313.2 10558.2 308.1 684.8 697 144530.5 130796.7 11187.6 9932.9 4670.4
1 0.05 3500 1280.9 726.2 1535.5 706.4 1460.8 1453.5 217161.5 158559.1 10297.6 9680.2 8168.8
1 0.05 4000 1901.8 1022.1 8073.1 1207.8 2084.1 2089.2 137707.2 68744.2 16599.9 15379.8 35482.3
1 0.05 4500 3378.6 1877.5 37415.1 1817.2 3258.4 3236.1 749753.1 532027.3 27989.7 25598.3 28425.3
1 0.05 5000 5002.4 2644.9 6051.9 2639.6 4937.6 4898.9 375808.1 194389.8 142758.5 118214.7 43825.9
1 0.1 500 13.9 6.4 99.7 6.8 14.8 15.1 252.1 130.1 110 85.3 94.8
1 0.1 750 42.8 20 195.7 23.8 37.7 36.2 695.7 359.2 250.5 271.1 438.2
1 0.1 1000 88.3 51.4 811.8 45.8 84.8 75.7 1610.6 542.6 581.3 540.9 804
1 0.1 1250 326.6 185.3 712.2 167.7 261.6 268.6 5891.8 3047 2954.4 2578.4 5527.7
1 0.1 1500 356.6 174.5 284.3 168.2 278 275.1 10518.9 4834.8 4714.2 3950.1 3531.4
1 0.1 2000 906.7 461.7 1556.1 457.1 663.5 662.4 28640.8 12459.6 8556.3 7464.6 12644.7
1 0.1 2500 1925.5 1084.1 3973.2 1088.3 1334.7 1337.3 80257 38268.3 26606.1 22553.2 45832
1 0.1 3000 3222.8 1639.4 2596.5 1627.2 2276.1 2247.5 113939.5 47061.4 71190.8 59819.4 51529.3
1 0.1 3500 4756.4 2535.5 6474.1 2559.6 3377.3 3363 302094.2 147333.3 112003.5 91985.8 70218.7
1 0.1 4000 8465 4692.1 10621.1 4775.3 6190.5 6187.8 418080.8 191833 419066.8 326961.3 163864.3
1 0.1 4500 13863.8 7339 23221.9 7260.7 8989.1 8927.7 912663.8 472567.8 535789.9 445605 290161.8
1 0.1 5000 21787.3 11319.4 18096.1 11379.3 14117.3 14107.9 1022532.7 501334 570417.5 477702.1 477502.7
1 0.2 300 10.9 7.5 20.9 6.1 10.2 11 76.5 28.5 112.2 73.7 134.5
1 0.2 500 60.5 45 356.6 38 38.2 41.7 388 144.7 882.5 721.5 817.6
1 0.2 750 300.6 182.6 196 174.7 223.2 211.8 1748.1 699.8 6847.2 5563.2 5765.4
1 0.2 1000 642.3 314.8 820 317.2 398.5 404.6 4515.7 2072.9 16066.1 12939.4 7880.4
1 0.2 1250 2409.6 1174.9 1765.7 1189.2 1246.2 1248.6 22429.2 13336.8 61401.7 49721.1 42805.4
1 0.2 1500 5160.5 2740.3 3134.5 2639.3 2552.7 2473.1 43926.9 26318 109624.7 88995.3 119978.7
1 0.2 2000 17939.3 10136.3 13742.6 10139.4 8370.4 8353.7 172738.8 100989 647445.6 535077.8 491470
1 0.2 2500 32132.7 18423.4 32340.3 18413.8 13490 13459.8 383128.9 224117.1 1369949.9 1154097.9 807095.6
1 0.2 3000 60304.9 34908.3 89969 35371.7 26146.2 26101.3 936079.4 563490.6 2585961.2 2161587.4 1137880.2
1 0.2 3500 90059.4 50579 149285.8 51454.8 36472.5 36392.7 1821666.6 1067153.2 3800338.4 3157572 1596320.5
1 0.2 4000 254300.1 140871.9 227840.2 140051.1 110097 109724.6 4770792.5 2968105.2 8610260.3 8068968.6 5580158.1
1 0.2 4500 326123.9 174024.2 415116.4 174728.4 111733.9 111475.4 6633813.3 4706460.4 9797031.9 9716175.2 6292458.9
1 0.2 5000 709142.9 358918.7 567744.5 371285.7 276224.8 277725.2 8548700.6 6087263.5 10000000 10000000 9354589.2
1 0.3 300 58.1 51.4 60.4 40.7 35.6 35.7 195.8 94.2 807.7 650.3 922.9
1 0.3 500 431.9 287 516.9 290.7 239.1 234 1197.5 664.3 9726.5 7799.7 8318
1 0.3 750 2057.1 1137.2 2024.6 1138.3 899.3 921 6751 4444.2 58523.1 47071.7 39076
