i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
1 1 0.05 1000 200 17 7 437 7 28 38 497 109 72 75 92
2 1 0.05 1000 200 212 149 485 147 288 266 1254 1375 5142 4155 3228
3 1 0.05 1000 200 56 18 18 18 61 62 505 57 278 217 347
4 1 0.05 1000 200 10 6 4 6 22 23 678 108 44 64 17
5 1 0.05 1000 200 13 9 179 5 20 20 461 97 47 84 61
6 1 0.05 1000 200 24 6 283 6 29 40 1049 941 77 132 114
7 1 0.05 1000 200 22 10 17 17 36 36 613 147 129 169 219
8 1 0.05 1000 200 14 6 3820 5 34 24 945 255 143 247 67
9 1 0.05 1000 200 18 8 8 7 31 31 2753 1241 95 142 226
10 1 0.05 1000 200 32 19 3983 16 72 52 743 127 166 177 227
1 1 0.05 1250 250 66 34 33 61 82 83 1958 862 302 312 636
2 1 0.05 1250 250 318 179 198 172 456 465 1580 868 7949 6537 8051
3 1 0.05 1250 250 51 24 24 24 100 74 5662 14822 438 412 414
4 1 0.05 1250 250 29 12 12 21 48 48 2224 1095 184 158 465
5 1 0.05 1250 250 22 8 8 8 32 31 1147 314 65 129 55
6 1 0.05 1250 250 51 23 1507 23 78 78 1864 1066 547 509 418
7 1 0.05 1250 250 35 15 15 15 56 56 1446 713 116 154 402
8 1 0.05 1250 250 43 19 8369 33 68 69 1431 614 54 117 435
9 1 0.05 1250 250 22 8 8 8 31 31 1744 922 63 127 60
10 1 0.05 1250 250 409 140 924 147 309 444 2221 1404 579 537 580
1 1 0.05 1500 300 60 26 26 26 91 92 2059 581 109 261 3264
2 1 0.05 1500 300 178 92 829 55 233 169 3506 2268 244 317 329
3 1 0.05 1500 300 49 20 20 20 66 66 2730 805 153 271 352
4 1 0.05 1500 300 38 21 1623 21 74 71 3623 2306 201 281 218
5 1 0.05 1500 300 346 230 575 232 434 459 13244 8707 1525 1392 1381
6 1 0.05 1500 300 47 18 15770 29 63 63 2654 965 762 713 676
7 1 0.05 1500 300 1297 685 2811 717 1756 1834 21921 30633 6854 5373 19700
8 1 0.05 1500 300 830 464 459 450 971 1003 3906 2019 6190 5441 5096
9 1 0.05 1500 300 89 42 1831 59 128 126 2753 1199 2299 1992 3634
10 1 0.05 1500 300 31 11 1411 11 44 44 3428 1480 111 276 70
1 1 0.05 2000 400 150 71 71 67 197 197 8915 3932 436 646 960
2 1 0.05 2000 400 166 75 95 89 219 211 19923 83802 920 1034 925
3 1 0.05 2000 400 84 32 31 31 125 100 9031 4244 206 464 266
4 1 0.05 2000 400 188 110 92 90 276 271 8785 4308 945 1195 1201
5 1 0.05 2000 400 508 272 249 270 685 673 12845 8730 3682 3238 18812
6 1 0.05 2000 400 343 186 5272 185 517 531 100631 104856 3746 3266 4153
7 1 0.05 2000 400 69 33 6107 31 77 81 105029 102544 231 524 233
8 1 0.05 2000 400 289 210 96506 158 436 450 55617 61797 1293 1471 901
9 1 0.05 2000 400 180 103 117 89 278 257 85416 69798 297 463 1247
10 1 0.05 2000 400 73 28 28 28 89 88 5804 1314 203 463 244
1 1 0.05 2500 500 676 352 353 352 859 884 29787 19240 14043 11037 71971
2 1 0.05 2500 500 506 270 270 272 644 648 24989 13816 2700 2974 2601
3 1 0.05 2500 500 296 125 124 125 301 298 28600 16950 2410 2475 2753
4 1 0.05 2500 500 206 92 33446 91 251 248 21805 10486 3618 2844 1234
5 1 0.05 2500 500 672 357 356 355 871 869 30418 17653 3162 2740 3590
6 1 0.05 2500 500 649 384 360 359 887 895 25523 16821 3117 2916 14611
